Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
"Friday of Easter Week (Gilbert of Caithness, Bishop, 1245 [6] White)",01/04/2005,,,,TRUE,,3
Saturday of Easter Week,02/04/2005,,,,TRUE,,3
Second Sunday of Easter [1] White,03/04/2005,,,,TRUE,,3
THE ANNUNCIATION OF THE LORD [2] White,04/04/2005,,,,TRUE,,3
Tuesday of Easter 2,05/04/2005,,,,TRUE,,3
Wednesday of Easter 2,06/04/2005,,,,TRUE,,3
Thursday of Easter 2,07/04/2005,,,,TRUE,,3
Friday of Easter 2,08/04/2005,,,,TRUE,,3
"Dietrich Bonhoeffer, Theologian and Martyr, 1945 [6] Red",09/04/2005,,,,TRUE,,3
Third Sunday of Easter [1] White,10/04/2005,,,,TRUE,,3
"George Augustus Selwyn, Bishop and Missionary, 1878 [6] White",11/04/2005,,,,TRUE,,3
"William Forbes, Bishop, 1634 [6] White",12/04/2005,,,,TRUE,,3
Wednesday of Easter 3,13/04/2005,,,,TRUE,,3
Thursday of Easter 3,14/04/2005,,,,TRUE,,3
Friday of Easter 3,15/04/2005,,,,TRUE,,3
"Magnus of Orkney, Martyr, c.1116 [6] White",16/04/2005,,,,TRUE,,3
Fourth Sunday of Easter [1] White,17/04/2005,,,,TRUE,,3
Monday of Easter 4,18/04/2005,,,,TRUE,,3
Tuesday of Easter 4,19/04/2005,,,,TRUE,,3
"Maelrubha of Applecross, Abbot, 722 [6] White",20/04/2005,,,,TRUE,,3
"Anselm of Canterbury, Bishop and Teacher of the Faith, 1109 [6] White",21/04/2005,,,,TRUE,,3
Friday of Easter 4,22/04/2005,,,,TRUE,,3
"George, Patron of England, Martyr, c.303 [6] Red",23/04/2005,,,,TRUE,,3
Fifth Sunday of Easter [1] White,24/04/2005,,,,TRUE,,3
"Mark, Evangelist [4] White",25/04/2005,,,,TRUE,,3
"Albert Ernest Laurie, Priest, 1937 [6] White",26/04/2005,,,,TRUE,,3
Wednesday of Easter 5,27/04/2005,,,,TRUE,,3
Thursday of Easter 5,28/04/2005,,,,TRUE,,3
"Catherine of Siena, Mystic and Teacher of the Faith, 1380 [6] White",29/04/2005,,,,TRUE,,3
Saturday of Easter 5,30/04/2005,,,,TRUE,,3
Sixth Sunday of Easter [1] White,01/05/2005,,,,TRUE,,3
"Philip and James, Apostles [4] Red (translated from 1st)",02/05/2005,,,,TRUE,,3
"Athanasius, Bishop and Teacher of the Faith, 373 [6] White (translated from 2nd)",03/05/2005,,,,TRUE,,3
Wednesday of Easter 6,04/05/2005,,,,TRUE,,3
ASCENSION DAY [1] White,05/05/2005,,,,TRUE,,3
Friday of Easter 6,06/05/2005,,,,TRUE,,3
Saturday of Easter 6,07/05/2005,,,,TRUE,,3
Seventh Sunday of Easter [1] White,08/05/2005,,,,TRUE,,3
"Julian of Norwich, c.1413 [6] White (translated from 8th)",09/05/2005,,,,TRUE,,3
Tuesday of Easter 7,10/05/2005,,,,TRUE,,3
Wednesday of Easter 7,11/05/2005,,,,TRUE,,3
"Thomas Rattray, Bishop, 1743 [6] White",12/05/2005,,,,TRUE,,3
Friday of Easter 7,13/05/2005,,,,TRUE,,3
"Matthias, Apostle [4] Red",14/05/2005,,,,TRUE,,3
THE DAY OF PENTECOST (Whitsunday) [1] Red,15/05/2005,,,,TRUE,,3
Monday after Pentecost,16/05/2005,,,,TRUE,,3
Tuesday after Pentecost,17/05/2005,,,,TRUE,,3
Wednesday after Pentecost,18/05/2005,,,,TRUE,,3
Thursday after Pentecost,19/05/2005,,,,TRUE,,3
Friday after Pentecost,20/05/2005,,,,TRUE,,3
"Helena, c.330 [6] White",21/05/2005,,,,TRUE,,3
Trinity Sunday [2] (Pentecost 1) White,22/05/2005,,,,TRUE,,3
"William of Perth (or Rochester), 1201 [6] White",23/05/2005,,,,TRUE,,3
Tuesday of Pentecost 1,24/05/2005,,,,TRUE,,3
"Bede, the Venerable, of Jarrow, Teacher of the Faith, 735 [6] White",25/05/2005,,,,TRUE,,3
Corpus Christi [5] White,26/05/2005,,,,TRUE,,3
"Augustine of Canterbury, Bishop, c.604 [6] White (translated from 26th)",27/05/2005,,,,TRUE,,3
Saturday of Pentecost 1,28/05/2005,,,,TRUE,,3
Pentecost 2 [3] Green,29/05/2005,,,,TRUE,,3
Monday of Pentecost 2,30/05/2005,,,,TRUE,,3
The Visit of Mary to Elizabeth [4] White,31/05/2005,,,,TRUE,,3
"Justin of Rome, Martyr, c.165 [6] Red",01/06/2005,,,,TRUE,,3
Thursday of Pentecost 2,02/06/2005,,,,TRUE,,3
"Charles Lwanga and his companions, 1886; Janani Luwum, Bishop, 1977, Martyrs of Uganda [6] Red",03/06/2005,,,,TRUE,,3
"John XXIII, Bishop of Rome, Reformer, 1963 [6] White",04/06/2005,,,,TRUE,,3
Pentecost 3 [3] Green,05/06/2005,,,,TRUE,,3
"Boniface of Mainz, Bishop, Missionary and Martyr, 754 [6] Red",06/06/2005,,,,TRUE,,3
Tuesday of Pentecost 3,07/06/2005,,,,TRUE,,3
"Ephrem the Syrian, Deaon and Teacher of the Faith, 373 [6] White (Consecration of the Bishop of Argyll, 2004)",08/06/2005,,,,TRUE,,3
"Columba of Iona, Abbot, 597 [4] White",09/06/2005,,,,TRUE,,3
Friday of Pentecost 3,10/06/2005,,,,TRUE,,3
"Barnabas, Apostle [4] Red",11/06/2005,,,,TRUE,,3
Pentecost 4 [3] Green,12/06/2005,,,,TRUE,,3
"John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White (translated from 12th)",13/06/2005,,,,TRUE,,3
"Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White",14/06/2005,,,,TRUE,,3
Wednesday of Pentecost 4,15/06/2005,,,,TRUE,,3
Thursday of Pentecost 4,16/06/2005,,,,TRUE,,3
Friday of Pentecost 4,17/06/2005,,,,TRUE,,3
"Bernard Mizeki, Martyr, 1896 [6] Red",18/06/2005,,,,TRUE,,3
"Pentecost 5 [3] Green (Consecration of the Bishop of Aberdeen, 1992)",19/06/2005,,,,TRUE,,3
"Fillan, Abbot, c.750 [6] Red",20/06/2005,,,,TRUE,,3
Tuesday of Pentecost 5,21/06/2005,,,,TRUE,,3
"Alban, Martyr, c.209 [6] Red",22/06/2005,,,,TRUE,,3
"Thursday of Pentecost 5 (Installation of the Bishop of Edinburgh, 2001)",23/06/2005,,,,TRUE,,3
The Birth of John the Baptist [4] White,24/06/2005,,,,TRUE,,3
"Moluag of Lismore, Bishop, c.592 [6] White",25/06/2005,,,,TRUE,,3
Pentecost 6 [3] Green,26/06/2005,,,,TRUE,,3
"Alexander Jolly, Bishop, 1838 [6] White",27/06/2005,,,,TRUE,,3
"Irenaeus of Lyons, Bishop and Teacher of the Faith, 202 [6] White",28/06/2005,,,,TRUE,,3
"Peter, Apostle or Peter and Paul, Apostles [4] Red",29/06/2005,,,,TRUE,,3
Thursday of Pentecost 6,30/06/2005,,,,TRUE,,3
"Serf, Bishop, c.550 [6] White",01/07/2005,,,,TRUE,,3
Saturday of Pentecost 6,02/07/2005,,,,TRUE,,3
Pentecost 7 [3] Green,03/07/2005,,,,TRUE,,3
"Thomas, Apostle [4] Red (if not kept on 21 Dec) (translated from 3rd)",04/07/2005,,,,TRUE,,3
Tuesday of Pentecost 7,05/07/2005,,,,TRUE,,3
"Palladius, Bishop, c.450 [6] White",06/07/2005,,,,TRUE,,3
Thursday of Pentecost 7,07/07/2005,,,,TRUE,,3
Friday of Pentecost 7,08/07/2005,,,,TRUE,,3
Saturday of Pentecost 7,09/07/2005,,,,TRUE,,3
Pentecost 8 [3] Green,10/07/2005,,,,TRUE,,3
"Benedict of Nursia, Abbot, c.550 [6] White",11/07/2005,,,,TRUE,,3
"Drostan of Deer, Abbot, c.600 [6] White",12/07/2005,,,,TRUE,,3
Wednesday of Pentecost 8,13/07/2005,,,,TRUE,,3
Thursday of Pentecost 8,14/07/2005,,,,TRUE,,3
Friday of Pentecost 8,15/07/2005,,,,TRUE,,3
Saturday of Pentecost 8,16/07/2005,,,,TRUE,,3
Pentecost 9 [3] Green,17/07/2005,,,,TRUE,,3
Monday of Pentecost 9,18/07/2005,,,,TRUE,,3
Tuesday of Pentecost 9,19/07/2005,,,,TRUE,,3
Wednesday of Pentecost 9,20/07/2005,,,,TRUE,,3
"William Wilberforce, 1833 [6] White",21/07/2005,,,,TRUE,,3
Mary Magdalene [4] White,22/07/2005,,,,TRUE,,3
Saturday of Pentecost 9,23/07/2005,,,,TRUE,,3
Pentecost 10 [3] Green,24/07/2005,,,,TRUE,,3
"James, Apostle [4] Red",25/07/2005,,,,TRUE,,3
"Anne and Joachim, Parents of Mary, Mother of the Lord [6] White",26/07/2005,,,,TRUE,,3
Wednesday of Pentecost 10,27/07/2005,,,,TRUE,,3
Thursday of Pentecost 10,28/07/2005,,,,TRUE,,3
Martha and Mary of Bethany [6] White,29/07/2005,,,,TRUE,,3
"Silas, Companion of Saint Paul [6] White",30/07/2005,,,,TRUE,,3
Pentecost 11 [3] Green,31/07/2005,,,,TRUE,,3
"Ignatius Loyola, Priest and Religious, 1556 [6] White (translated from 31 July)",01/08/2005,,,,TRUE,,3
Tuesday of Pentecost 11,02/08/2005,,,,TRUE,,3
Wednesday of Pentecost 11,03/08/2005,,,,TRUE,,3
Thursday of Pentecost 11,04/08/2005,,,,TRUE,,3
"Oswald of Northumbria, Martyr, 642 [6] Red",05/08/2005,,,,TRUE,,3
THE TRANSFIGURATION OF THE LORD [2] White,06/08/2005,,,,TRUE,,3
Pentecost 12 [3] Green,07/08/2005,,,,TRUE,,3
"Dominic, Priest and Friar, 1221 [6] White",08/08/2005,,,,TRUE,,3
"John Mason Neale, Priest, 1886 [6] White",09/08/2005,,,,TRUE,,3
"Lawrence, Deacon and Martyr, 258 [6] Red",10/08/2005,,,,TRUE,,3
"Claire of Assisi, Religious, 1253 [6] White",11/08/2005,,,,TRUE,,3
"Blane, Missionary, c.590 [6] White",12/08/2005,,,,TRUE,,3
"Jeremy Taylor, Bishop, 1667 [6] White",13/08/2005,,,,TRUE,,3
Pentecost 13 [3] Green,14/08/2005,,,,TRUE,,3
Mary the Virgin [4] White,15/08/2005,,,,TRUE,,3
Tuesday of Pentecost 13,16/08/2005,,,,TRUE,,3
Wednesday of Pentecost 13,17/08/2005,,,,TRUE,,3
Thursday of Pentecost 13,18/08/2005,,,,TRUE,,3
Friday of Pentecost 13,19/08/2005,,,,TRUE,,3
"Bernard of Clairvaux, Abbot and Teacher of the Faith, 1153 [6] White",20/08/2005,,,,TRUE,,3
Pentecost 14 [3] Green,21/08/2005,,,,TRUE,,3
Monday of Pentecost 14,22/08/2005,,,,TRUE,,3
Tuesday of Pentecost 14,23/08/2005,,,,TRUE,,3
"Bartholomew, Apostle [4] Red",24/08/2005,,,,TRUE,,3
"Ebba of Coldingham, Abbess, 683 [6] White",25/08/2005,,,,TRUE,,3
Friday of Pentecost 14,26/08/2005,,,,TRUE,,3
"Monnica, Mother of Augustine of Hippo, 387 [6] White",27/08/2005,,,,TRUE,,3
Pentecost 15 [3] Green,28/08/2005,,,,TRUE,,3
The Beheading of John the Baptist [4] Red,29/08/2005,,,,TRUE,,3
Tuesday of Pentecost 15,30/08/2005,,,,TRUE,,3
"Aiden of Lindisfarne, Bishop, 651 [6] White",31/08/2005,,,,TRUE,,3
Thursday of Pentecost 15,01/09/2005,,,,TRUE,,3
Friday of Pentecost 15,02/09/2005,,,,TRUE,,3
Saturday of Pentecost 15,03/09/2005,,,,TRUE,,3
Pentecost 16 [3] Green,04/09/2005,,,,TRUE,,3
Monday of Pentecost 16,05/09/2005,,,,TRUE,,3
Tuesday of Pentecost 16,06/09/2005,,,,TRUE,,3
Wednesday of Pentecost 16,07/09/2005,,,,TRUE,,3
"The Birth of Mary, Mother of the Lord [5] White",08/09/2005,,,,TRUE,,3
Friday of Pentecost 16,09/09/2005,,,,TRUE,,3
Saturday of Pentecost 16,10/09/2005,,,,TRUE,,3
Pentecost 17 [3] Green,11/09/2005,,,,TRUE,,3
Monday of Pentecost 17,12/09/2005,,,,TRUE,,3
Tuesday of Pentecost 17,13/09/2005,,,,TRUE,,3
Holy Cross Day [5] White or Red,14/09/2005,,,,TRUE,,3
Thursday of Pentecost 17,15/09/2005,,,,TRUE,,3
"Ninian of Whithorn, Bishop, c.430 [4] White",16/09/2005,,,,TRUE,,3
Saturday of Pentecost 17,17/09/2005,,,,TRUE,,3
Pentecost 18 [3] Green,18/09/2005,,,,TRUE,,3
Monday of Pentecost 18,19/09/2005,,,,TRUE,,3
Tuesday of Pentecost 18,20/09/2005,,,,TRUE,,3
"Matthew, Apostle and Evangelist [4] Red",21/09/2005,,,,TRUE,,3
Thursday of Pentecost 18,22/09/2005,,,,TRUE,,3
Friday of Pentecost 18,23/09/2005,,,,TRUE,,3
Saturday of Pentecost 18,24/09/2005,,,,TRUE,,3
"Pentecost 19 [3] Green (Consecration of the Bishop of Moray, Ross and Caithness, 1999)",25/09/2005,,,,TRUE,,3
Monday of Pentecost 19,26/09/2005,,,,TRUE,,3
Tuesday of Pentecost 19,27/09/2005,,,,TRUE,,3
Wednesday of Pentecost 19,28/09/2005,,,,TRUE,,3
Michael and All Angels [4] White,29/09/2005,,,,TRUE,,3
Friday of Pentecost 19,30/09/2005,,,,TRUE,,3
Saturday of Pentecost 19,01/10/2005,,,,TRUE,,3
Pentecost 20 [3] Green,02/10/2005,,,,TRUE,,3
Monday of Pentecost 20,03/10/2005,,,,TRUE,,3
Tuesday of Pentecost 20,04/10/2005,,,,TRUE,,3
Wednesday of Pentecost 20,05/10/2005,,,,TRUE,,3
Thursday of Pentecost 20,06/10/2005,,,,TRUE,,3
Friday of Pentecost 20,07/10/2005,,,,TRUE,,3
Saturday of Pentecost 20,08/10/2005,,,,TRUE,,3
Pentecost 21 [3] Green,09/10/2005,,,,TRUE,,3
Monday of Pentecost 21,10/10/2005,,,,TRUE,,3
Tuesday of Pentecost 21,11/10/2005,,,,TRUE,,3
Wednesday of Pentecost 21,12/10/2005,,,,TRUE,,3
Thursday of Pentecost 21,13/10/2005,,,,TRUE,,3
Friday of Pentecost 21,14/10/2005,,,,TRUE,,3
Saturday of Pentecost 21,15/10/2005,,,,TRUE,,3
Pentecost 22 [3] Green,16/10/2005,,,,TRUE,,3
Monday of Pentecost 22,17/10/2005,,,,TRUE,,3
"Luke, Evangelist [4] Red",18/10/2005,,,,TRUE,,3
Wednesday of Pentecost 22,19/10/2005,,,,TRUE,,3
Thursday of Pentecost 22,20/10/2005,,,,TRUE,,3
Friday of Pentecost 22,21/10/2005,,,,TRUE,,3
Saturday of Pentecost 22,22/10/2005,,,,TRUE,,3
Pentecost 23 [3] Green (Fifth Sunday before Lent),23/10/2005,,,,TRUE,,3
Monday of Pentecost 23,24/10/2005,,,,TRUE,,3
Tuesday of Pentecost 23,25/10/2005,,,,TRUE,,3
Wednesday of Pentecost 23,26/10/2005,,,,TRUE,,3
Thursday of Pentecost 23,27/10/2005,,,,TRUE,,3
"Simon and Jude, Apostles [4] Red",28/10/2005,,,,TRUE,,3
Saturday of Pentecost 23,29/10/2005,,,,TRUE,,3
Pentecost 24 [3] Green (Fourth Sunday before Lent),30/10/2005,,,,TRUE,,3
Monday of Pentecost 24,31/10/2005,,,,TRUE,,3
ALL SAINTS [2] White,01/11/2005,,,,TRUE,,3
"All Souls [5] Violet or White (Consecration of the Bishop of Edinburgh, 1993)",02/11/2005,,,,TRUE,,3
Thursday of Pentecost 24,03/11/2005,,,,TRUE,,3
Friday of Pentecost 24,04/11/2005,,,,TRUE,,3
Saturday of Pentecost 24,05/11/2005,,,,TRUE,,3
Pentecost 25 [3] Green (Third Sunday before Lent),06/11/2005,,,,TRUE,,3
Monday of Pentecost 25,07/11/2005,,,,TRUE,,3
Tuesday of Pentecost 25,08/11/2005,,,,TRUE,,3
Wednesday of Pentecost 25,09/11/2005,,,,TRUE,,3
Thursday of Pentecost 25,10/11/2005,,,,TRUE,,3
Friday of Pentecost 25,11/11/2005,,,,TRUE,,3
Saturday of Pentecost 25,12/11/2005,,,,TRUE,,3
Pentecost 26 [3] Green (Second Sunday before Lent),13/11/2005,,,,TRUE,,3
"(Consecration of Samuel Seabury, Bishop, 1784)",14/11/2005,,,,TRUE,,3
Tuesday of Pentecost 26,15/11/2005,,,,TRUE,,3
"Margaret of Scotland, 1093 [4] White",16/11/2005,,,,TRUE,,3
Thursday of Pentecost 26,17/11/2005,,,,TRUE,,3
Friday of Pentecost 26,18/11/2005,,,,TRUE,,3
Saturday of Pentecost 26,19/11/2005,,,,TRUE,,3
The Last Sunday after Pentecost (Christ the King) [3] White or Red,20/11/2005,,,,TRUE,,3
Monday of the Last Sunday after Pentecost,21/11/2005,,,,TRUE,,3
Tuesday of the Last Sunday after Pentecost,22/11/2005,,,,TRUE,,3
Wednesday of the Last Sunday after Pentecost,23/11/2005,,,,TRUE,,3
Thursday of the Last Sunday after Pentecost,24/11/2005,,,,TRUE,,3
Friday of the Last Sunday after Pentecost,25/11/2005,,,,TRUE,,3
Saturday of the Last Sunday after Pentecost,26/11/2005,,,,TRUE,,3
