Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
"Peter, Apostle or Peter and Paul, Apostles [4] Red",29/06/2012,,,,TRUE,FALSE,"Peter, Apostle or Peter and Paul, Apostles [4] Red

EUCHARIST for Peter, Apostle [4] Red
Ezekiel 3:4-11 or Ezekiel 3:22-27
Psalm 125
1 Peter 2:19-25
Matthew 16:13-19

MORNING PRAYER: Festivals
Ezekiel 2:1-7
Acts 9:32-43

EVENING PRAYER: Festivals
Ezekiel 34:11-16
John 21:15-22

EUCHARIST for Peter and Paul, Apostles [4] Red
Ezekiel 34:11-16 or Zechariah 4:1-6a, 10-14
Psalm 125
2 Timothy 4:(1-5), 6-8, 17-18
John 21:15-19 or Matthew 16:13-19

MORNING PRAYER: Festivals
Ezekiel 2:1-7
Acts 11:1-18

EVENING PRAYER: Festivals
Isaiah 49:1-6
Galatians 2:1-9",Normal,Normal,3
"Moluag of Lismore, Bishop, c.592 [6] White (translated from 25 June)",30/06/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 5 [3] Green; SPB Trinity 4,01/07/2012,,,,TRUE,FALSE,"Pentecost 5 [3] Green; SPB Trinity 4 | Week of Proper 13

Eucharist: Continuous
2 Samuel 1:1, 17-27
Psalm 130
2 Corinthians 8:7-15
Mark 5:21-43

Eucharist: Thematic
Wisdom 1:13-15; 2:23-24
Psalm 30 or Canticle: Lamentations 3:22-33
2 Corinthians 8:7-15
Mark 5:21-43

Daily Prayer: Week B
John 11:1-14
Acts 27:33-44
Luke 9:51-63

Alternative Psalms
Morning: 50
Evening: 53",Normal,Normal,3
"Serf, Bishop, c.550 [6] White (translated from 01 July)",02/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas, Apostle [4] Red (if not kept on 21 December)",03/07/2012,,,,TRUE,FALSE,"Thomas, Apostle [4] Red (if not kept on 21 December)

DAILY EUCHARIST
Habakkuk 2:1-4
Psalm 31:1-6
Hebrews 10:35 - 11:1 or Ephesians 2:19-22
John 20:24-29

MORNING PRAYER: Festivals
Job 42:1-6
1 Peter 1:3-9

EVENING PRAYER: Festivals
Isaiah 43:8-13
John 14:1-7",Normal,Normal,3
Wednesday after Pentecost 5,04/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Pentecost 5,05/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
"Palladius, Bishop, c.450 [6] White",06/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Pentecost 5,07/07/2012,,,,TRUE,FALSE,,Normal,Normal,3
Pentecost 6 [3] Green; SPB Trinity 5,08/07/2012,,,,TRUE,FALSE,"Pentecost 6 [3] Green; SPB Trinity 5 | Week of Proper 14

Eucharist: Continuous
2 Samuel 5:1-5, 9-10
Psalm 48
2 Corinthians 12:2-10
Mark 6:1-13

Eucharist: Thematic
Ezekiel 2:1-5
Psalm 123
2 Corinthians 12:2-10
Mark 6:1-13

Daily Prayer: Week C
Jeremiah 20:1-11a
Acts 28:1-16
Luke 10:1-11, 16-20

Alternative Psalms
Morning: 56
Evening: 64",Normal,Normal,3
