Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
"Thomas, Apostle [4] Red (if not kept on 21 Dec)",03/07/2007,,,,TRUE,,3
Wednesday of Pentecost 5,04/07/2007,,,,TRUE,,3
Thursday of Pentecost 5,05/07/2007,,,,TRUE,,3
"Palladius, Bishop, c.450 [6] White",06/07/2007,,,,TRUE,,3
Saturday of Pentecost 5,07/07/2007,,,,TRUE,,3
Pentecost 6 [3] Green / SPB Trinity 5,08/07/2007,,,,TRUE,,3
Monday of Pentecost 6,09/07/2007,,,,TRUE,,3
Tuesday of Pentecost 6,10/07/2007,,,,TRUE,,3
"Benedict of Nursia, Abbot, c.550 [6] White",11/07/2007,,,,TRUE,,3
"Drostan of Deer, Abbot, c.600 [6] White",12/07/2007,,,,TRUE,,3
Friday of Pentecost 6,13/07/2007,,,,TRUE,,3
Saturday of Pentecost 6,14/07/2007,,,,TRUE,,3
Pentecost 7 [3] Green / SPB Trinity 6,15/07/2007,,,,TRUE,,3
Monday of Pentecost 7,16/07/2007,,,,TRUE,,3
Tuesday of Pentecost 7,17/07/2007,,,,TRUE,,3
Wednesday of Pentecost 7,18/07/2007,,,,TRUE,,3
Thursday of Pentecost 7,19/07/2007,,,,TRUE,,3
Friday of Pentecost 7,20/07/2007,,,,TRUE,,3
"William Wilberforce, 1833 [6] White",21/07/2007,,,,TRUE,,3
Pentecost 8 [3] Green / SPB Trinity 7,22/07/2007,,,,TRUE,,3
Mary Magdalene [4] White (translated from 22 July),23/07/2007,,,,TRUE,,3
Tuesday of Pentecost 8,24/07/2007,,,,TRUE,,3
"James, Apostle [4] Red",25/07/2007,,,,TRUE,,3
"Anne and Joachim, Parents of Mary, Mother of the Lord [6] White",26/07/2007,,,,TRUE,,3
Friday of Pentecost 8,27/07/2007,,,,TRUE,,3
Saturday of Pentecost 8,28/07/2007,,,,TRUE,,3
Pentecost 9 [3] Green / SPB Trinity 8,29/07/2007,,,,TRUE,,3
"Silas, Companion of Saint Paul [6] White",30/07/2007,,,,TRUE,,3
"Ignatius Loyola, Priest and Religious, 1556 [6] White",31/07/2007,,,,TRUE,,3
Mary and Martha of Bethany [6] White (translated from 29 July),01/08/2007,,,,TRUE,,3
Thursday of Pentecost 9,02/08/2007,,,,TRUE,,3
Friday of Pentecost 9,03/08/2007,,,,TRUE,,3
Saturday of Pentecost 9,04/08/2007,,,,TRUE,,3
Pentecost 10 [3] Green / SPB Trinity 9,05/08/2007,,,,TRUE,,3
THE TRANSFIGURATION OF THE LORD [2] White,06/08/2007,,,,TRUE,,3
"Boisil, Prior of Melrose, c.642 [6] White",07/08/2007,,,,TRUE,,3
"Dominic, Priest and Friar, 1221 [6] White",08/08/2007,,,,TRUE,,3
"John Mason Neale, Priest, 1886 [6] White",09/08/2007,,,,TRUE,,3
"Lawrence, Deacon and Martyr, 258 [6] Red",10/08/2007,,,,TRUE,,3
"Clare of Assisi, Religious, 1253 [6] White",11/08/2007,,,,TRUE,,3
Pentecost 11 [3] Green / SPB Trinity 10,12/08/2007,,,,TRUE,,3
"Jeremy Taylor, Bishop, 1667 [6] White",13/08/2007,,,,TRUE,,3
"Maximilien Kolbe, Priest and Martyr, 1941 [6] Red",14/08/2007,,,,TRUE,,3
Mary the Virgin [4] White,15/08/2007,,,,TRUE,,3
Thursday of Pentecost 11,16/08/2007,,,,TRUE,,3
Friday of Pentecost 11,17/08/2007,,,,TRUE,,3
Saturday of Pentecost 11,18/08/2007,,,,TRUE,,3
Pentecost 12 [3] Green / SPB Trinity 11,19/08/2007,,,,TRUE,,3
"Bernard of Clairvaux, Abbot and Teacher of the Faith, 1153 [6] White",20/08/2007,,,,TRUE,,3
Tuesday of Pentecost 12,21/08/2007,,,,TRUE,,3
Wednesday of Pentecost 12,22/08/2007,,,,TRUE,,3
Thursday of Pentecost 12,23/08/2007,,,,TRUE,,3
"Bartholomew, Apostle [4] Red",24/08/2007,,,,TRUE,,3
