Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
Monday after Sixth Sunday of Easter,18/05/2009,,,,TRUE,,3
Tuesday after Sixth Sunday of Easter,19/05/2009,,,,TRUE,,3
Wednesday after Sixth Sunday of Easter,20/05/2009,,,,TRUE,,3
ASCENSION DAY [1] White,21/05/2009,,,,TRUE,,3
"Helena, c.330 [6] White (translated from 21 May)",22/05/2009,,,,TRUE,DP New Life: the Spirit (until the evening of the Day of Pentecost),3
"William of Perth (or Rochester), 1201 [6] White",23/05/2009,,,,TRUE,,3
Seventh Sunday of Easter [1] White; SPB Sunday after Ascension Day,24/05/2009,,,,TRUE,,3
"Bede the Venerable, of Jarrow, Teacher of the Faith, 735 [6] White",25/05/2009,,,,TRUE,,3
"Augustine of Canterbury, Bishop, c.604 [6] White",26/05/2009,,,,TRUE,,3
Wednesday after Seventh Sunday of Easter,27/05/2009,,,,TRUE,,3
Thursday after Seventh Sunday of Easter,28/05/2009,,,,TRUE,,3
Friday after Seventh Sunday of Easter,29/05/2009,,,,TRUE,,3
Saturday after Seventh Sunday of Easter,30/05/2009,,,,TRUE,,3
THE DAY OF PENTECOST (Whitsunday) [1] Red,31/05/2009,,,,TRUE,,3
The Visit of Mary to Elizabeth [5] White (translated from 31 May),01/06/2009,,,,TRUE,,3
"Justin of Rome, Martyr, c.165 [6] Red (translated from 1 June)",02/06/2009,,,,TRUE,,3
"Charles Lwanga and his companions, 1886; Janani Luwum, Bishop, 1977, Martyrs of Uganda [6] Red",03/06/2009,,,,TRUE,,3
"John XXIII, Bishop of Rome, Reformer, 1963 [6] White",04/06/2009,,,,TRUE,,3
"Boniface of Mainz, Bishop, Missionary and Martyr, 754 [6] Red",05/06/2009,,,,TRUE,,3
Saturday after the Day of Pentecost (Whitsunday),06/06/2009,,,,TRUE,,3
Trinity Sunday [2] White; Pentecost 1,07/06/2009,,,,TRUE,,3
"Ephrem the Syrian, Deacon and Teacher of the Faith, 373 [6] White (Ordination of the Bishop of Argyll, 2004)",08/06/2009,,,,TRUE,,3
"Columba of Iona, Abbot, 597 [4] White",09/06/2009,,,,TRUE,,3
Wednesday after Trinity Sunday,10/06/2009,,,,TRUE,,3
"Barnabus, Apostle [4] Red (may be transferred, if desired, to 12 June); Corpus Christi [5] White",11/06/2009,,,,TRUE,,3
"John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White",12/06/2009,,,,TRUE,,3
Saturday after Trinity Sunday,13/06/2009,,,,TRUE,,3
Pentecost 2 [3] Green; SPB Trinity 1,14/06/2009,,,,TRUE,,3
"Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White (translated from 14 June)",15/06/2009,,,,TRUE,,3
Tuesday after Pentecost 2,16/06/2009,,,,TRUE,,3
Wednesday after Pentecost 2,17/06/2009,,,,TRUE,,3
"Bernard Mizeki, Martyr, 1896 [6] Red",18/06/2009,,,,TRUE,,3
Friday after Pentecost 2,19/06/2009,,,,TRUE,,3
"Fillan, Abbot, c.750 [6] Red",20/06/2009,,,,TRUE,,3
Pentecost 3 [3] Green; SPB Trinity 2,21/06/2009,,,,TRUE,,3
"Alban, Martyr [6] Red",22/06/2009,,,,TRUE,,3
"Tuesday after Pentecost 3 (Installation of the Bishop of Edinburgh, 2001)",23/06/2009,,,,TRUE,,3
The Birth of John the Baptist [4] White,24/06/2009,,,,TRUE,,3
"Moluag of Lismore, Bishop, c.592 [6] White",25/06/2009,,,,TRUE,,3
"Robert Leighton, Bishop, 1684 [6] White",26/06/2009,,,,TRUE,,3
"Alexander Jolly, Bishop, 1838 [6] White",27/06/2009,,,,TRUE,,3
Pentecost 4 [3] Green; SPB Trinity 3,28/06/2009,,,,TRUE,,3
"Peter, Apostle or Peter and Paul, Apostles [4] Red",29/06/2009,,,,TRUE,,3
"Irenaeus of Lyons, Bishop and Teacher of the Faith, 202 [6] White (translated from 28 June)",30/06/2009,,,,TRUE,,3
"Serf, Bishop, c.550 [6] White",01/07/2009,,,,TRUE,,3
Thursday after Pentecost 4,02/07/2009,,,,TRUE,,3
"Thomas, Apostle [4] Red (if not kept on 21 December)",03/07/2009,,,,TRUE,,3
Saturday after Pentecost 4,04/07/2009,,,,TRUE,,3
Pentecost 5 [3] Green; SPB Trinity 4,05/07/2009,,,,TRUE,,3
"Palladius, Bishop, c.450 [6] White",06/07/2009,,,,TRUE,,3
Tuesday after Pentecost 5,07/07/2009,,,,TRUE,,3
Wednesday after Pentecost 5,08/07/2009,,,,TRUE,,3
Thursday after Pentecost 5,09/07/2009,,,,TRUE,,3
Friday after Pentecost 5,10/07/2009,,,,TRUE,,3
"Benedict of Nursia, Abbot, c.550 [6] White",11/07/2009,,,,TRUE,,3
Pentecost 6 [3] Green; SPB Trinity 5,12/07/2009,,,,TRUE,,3
"Drostan of Deer, Abbot, c.600 [6] White (translated from 12 July)",13/07/2009,,,,TRUE,,3
Tuesday after Pentecost 6,14/07/2009,,,,TRUE,,3
Wednesday after Pentecost 6,15/07/2009,,,,TRUE,,3
Thursday after Pentecost 6,16/07/2009,,,,TRUE,,3
Friday after Pentecost 6,17/07/2009,,,,TRUE,,3
Saturday after Pentecost 6,18/07/2009,,,,TRUE,,3
Pentecost 7 [3] Green; SPB Trinity 6,19/07/2009,,,,TRUE,,3
Monday after Pentecost 7,20/07/2009,,,,TRUE,,3
"William Wilberforce, 1833 [6] White",21/07/2009,,,,TRUE,,3
Mary Magdalene [4] White,22/07/2009,,,,TRUE,,3
Thursday after Pentecost 7,23/07/2009,,,,TRUE,,3
Friday after Pentecost 7,24/07/2009,,,,TRUE,,3
"James, Apostle [4] Red",25/07/2009,,,,TRUE,,3
Pentecost 8 [3] Green; SPB Trinity 7,26/07/2009,,,,TRUE,,3
"Anne and Joachim, Parents of Mary, Mother of the Lord [6] White (translated from 26 July)",27/07/2009,,,,TRUE,,3
Tuesday after Pentecost 8,28/07/2009,,,,TRUE,,3
Martha and Mary of Bethany [6] White,29/07/2009,,,,TRUE,,3
"Silas, Companion of Saint Paul [6] White",30/07/2009,,,,TRUE,,3
"Ignatius Loyola, Priest and Religious, 1556 [6] White",31/07/2009,,,,TRUE,,3
Saturday after Pentecost 8,01/08/2009,,,,TRUE,,3
Pentecost 9 [3] Green; SPB Trinity 8,02/08/2009,,,,TRUE,,3
Monday after Pentecost 9,03/08/2009,,,,TRUE,,3
Tuesday after Pentecost 9,04/08/2009,,,,TRUE,,3
"Oswald of Northumbria, Martyr, 642 [6] Red",05/08/2009,,,,TRUE,,3
THE TRANSFIGURATION OF THE LORD [2] White,06/08/2009,,,,TRUE,,3
"Boisil, Prior of Melrose, c.642 [6] White",07/08/2009,,,,TRUE,,3
"Dominic, Priest and Friar, 1221 [6] White",08/08/2009,,,,TRUE,,3
Pentecost 10 [3] Green; SPB Trinity 9,09/08/2009,,,,TRUE,,3
"Lawrence, Deacon and Martyr, 258 [6] Red",10/08/2009,,,,TRUE,,3
"Clare of Assisi, Religious, 1253 [6] White",11/08/2009,,,,TRUE,,3
"Blane, Missionary, c.590 [6] White",12/08/2009,,,,TRUE,,3
"Jeremy Taylor, Bishop, 1667 [6] White",13/08/2009,,,,TRUE,,3
"Maximilien Kolbe, Priest and Martyr, 1941 [6] Red",14/08/2009,,,,TRUE,,3
Mary the Virgin [4] White,15/08/2009,,,,TRUE,,3
Pentecost 11 [3] Green; SPB Trinity 10,16/08/2009,,,,TRUE,,3
Monday after Pentecost 11,17/08/2009,,,,TRUE,,3
Tuesday after Pentecost 11,18/08/2009,,,,TRUE,,3
Wednesday after Pentecost 11,19/08/2009,,,,TRUE,,3
"Bernard of Clairvaux, Aboot & Teacher of the Faith, 1153 [6] White",20/08/2009,,,,TRUE,,3
Friday after Pentecost 11,21/08/2009,,,,TRUE,,3
Saturday after Pentecost 11,22/08/2009,,,,TRUE,,3
Pentecost 12 [3] Green; SPB Trinity 11,23/08/2009,,,,TRUE,,3
"Bartholomew, Apostle [4] Red",24/08/2009,,,,TRUE,,3
"Ebba of Coldingham, Abbess, 683 [6] White",25/08/2009,,,,TRUE,,3
Wednesday after Pentecost 12,26/08/2009,,,,TRUE,,3
"Monnica, Mother of Augustine of Hippo, 387 [6] White",27/08/2009,,,,TRUE,,3
"Augustine of Hippo, Bishop & Teacher of the Faith, 430 [6] White",28/08/2009,,,,TRUE,,3
The Beheading of John the Baptist [4] Red,29/08/2009,,,,TRUE,,3
Pentecost 13 [3] Green; SPB Trinity 12,30/08/2009,,,,TRUE,,3
"Aidan of Lindisfarne, Bishop, 651 [6] White",31/08/2009,,,,TRUE,,3
Tuesday after Pentecost 13,01/09/2009,,,,TRUE,,3
"The Martyrs of New Guinea, 1942 [6] Red",02/09/2009,,,,TRUE,,3
