Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
"Francis de Sales, Bishop, 1622 [6] White",24/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"The Conversion of Paul, Apostle [4] White",25/01/2013,,,,TRUE,FALSE,"The Conversion of Paul, Apostle [4] White

EUCHARIST
Acts 26:9-23
Psalm 67
Galatians 1:11-24
Matthew 10:16-22 or Matthew 19:27-30

MORNING PRAYER: Festivals
Isaiah 45:18-25
Philippians 3:4b-11

EVENING PRAYER: Festivals
Sirach 39:1-10
Acts 9:1-22",Normal,Normal,3
"Timothy and Titus, Bishops [6] White",26/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
Third Sunday after Epiphany [3] Green,27/01/2013,,,,TRUE,FALSE,"Week of Proper 3
Third Sunday after Epiphany [3] Green

EUCHARIST
Nehemiah 8:1-3, 5-6, 8-10
Psalm 19
1 Corinthians 12:12-31a
Luke 4:14-21

DAILY PRAYER: Week C 
Ecclesiastes 3:1-11
Titus 2:1-8, 11-14
Matthew 4:12-23

ALTERNATIVE PSALMS
Morning: Psalm 33
Evening: Psalm 113",Normal,Normal,3
"Thomas Aquinas, Teacher of the Faith, 1274 [6] White",28/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"John Chrysostom, Bishop and Teacher of the Faith, 407 [6] White (transferred from 27 January)",29/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Charles I, King, 1649 [6] Red",30/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Charles Mackenzie of Central Africa, Bishop, Missionary, Martyr, 1862 [6] Red",31/01/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Bride of Kildare, Abbess, c.525 [6] White",01/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
THE PRESENTATION OF THE LORD [2] White,02/02/2013,,,,TRUE,FALSE,"THE PRESENTATION OF THE LORD [2] White

EUCHARIST
Malachi 3:1-4
Psalm 84 or Psalm 24:7-10
Hebrews 2:14-18
Luke 2:22-40

MORNING PRAYER: Festivals
1 Samuel 2:1-10
John 8:31-36

EVENING PRAYER: Festivals
Haggai 2:1-9
1 John 3:1-8",Normal,Normal,3
Fourth Sunday after Epiphany [3] Green,03/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Saints and Martyrs of Europe [6] Red (transferred from 03 February) (Consecration of the Rt Revd Kevin Pearson, Bishop of Argyll and the Isles, 2011)",04/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Fourth Sunday after Epiphany,05/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Paul Miki, Priest, and the Martyrs of Japan, 1597 [6] Red",06/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Fourth Sunday after Epiphany,07/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Fourth Sunday after Epiphany,08/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Fourth Sunday after Epiphany,09/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Sunday before Lent (Transfiguration) [3] Green (SPB Quinquagesima - Violet),10/02/2013,,,,TRUE,FALSE,"Week of the Beginning of Lent
Sunday before Lent (Transfiguration) [3] Green (SPB Quinquagesima - Violet)

EUCHARIST
Exodus 34:29-35
Psalm 99
2 Corinthians 3:12 - 4:2
Luke 9:28-36, (37-43)

DAILY PRAYER: Week A
(See the numbered Proper which corresponds most closely to the date of the Sunday before Ash Wednesday)

Week of Proper 5 (if before Lent)
DAILY PRAYER: Week A
Amos 2:4-16
Ephesians 4:17-32
Mark 1:29-39

ALTERNATIVE PSALMS
Morning: Psalms 1 and 3
Evening: Psalm 4",Normal,Normal,3
"Scholastica, Religious, 543 [6] White (transferred from 10 February)",11/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Sunday before Lent,12/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Ash Wednesday [1] Violet or Lenten Array,13/02/2013,,,,TRUE,FALSE,"Week of the Beginning of Lent
ASH WEDNESDAY [1] Violet or Lenten Array

DAILY EUCHARIST (Green)
Joel 2:1-2, 12-17 or Isaiah 58:1-12
Psalm 51:1-17
2 Corinthians 5:20b - 6:10
Matthew 6:1-6, 16-21

DAILY PRAYER: Returning to God 
Jonah 3:1-4, 11
Hebrews 12:1-14
Luke 18:9-14",Normal,Normal,3
"Cyril, Monk, 869, and Methodius, Bishop, 885, 'Apostles of the Slavs' [6] White",14/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas Bray, Priest and Missionary, 1730 [6] White",15/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Ash Wednesday,16/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
First Sunday of Lent [1] Violet or Lenten Array,17/02/2013,,,,TRUE,FALSE,"Week of Lent 1
FIRST SUNDAY OF LENT [1] Violet or Lenten Array

EUCHARIST
Deuteronomy 26:1-11
Psalm 91:1-2, 9-16
Romans 10:8b-13
Luke 4:1-13

DAILY PRAYER: Returning to God 
Deuteronomy 6:4-9, 16-25
Romans 5:12-19
Luke 15:1-10

ALTERNATIVE PSALMS
Morning: Psalm 50:1-15
Evening: Psalm 119:17-32",Normal,Normal,3
"Colman of Lindisfarne, Bishop, 767 [6] White",18/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Martin Luther, 1545 [6] White",19/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Finan of Lindisfarne, Bishop, 661 [6] White (transferred from 17 February)",20/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after First Sunday of Lent,21/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after First Sunday of Lent,22/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Polycarp of Smyrna, Bishop and Martyr, 156 [6] Red",23/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Second Sunday of Lent [1] Violet or Lenten Array,24/02/2013,,,,TRUE,FALSE,"Week of Lent 2
SECOND SUNDAY OF LENT [1] Violet or Lenten Array)

EUCHARIST
Genesis 15:1-12, 17-18
Psalm 27
Philippians 3:17 - 4:1
Luke 13:31-35 or Luke 9:28-36

DAILY PRAYER: Returning to God 
Numbers 21:4-9
Galatians 3:1-9, 23-29
Luke 14:27-33

ALTERNATIVE PSALMS
Morning: Psalm 135:1-14
Evening: Psalm 74",Normal,Normal,3
Monday after Second Sunday of Lent,25/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Second Sunday of Lent,26/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Second Sunday of Lent,27/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Second Sunday of Lent,28/02/2013,,,,TRUE,FALSE,,Normal,Normal,3
"David, Bishop, Patron of Wales, c.544 [6] White",01/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Chad of Lichfield, Bishop, 672 [6] White",02/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Third Sunday of Lent [1] Violet or Lenten Array,03/03/2013,,,,TRUE,FALSE,"Week of Lent 3
THIRD SUNDAY OF LENT [1] Violet or Lenten Array

EUCHARIST
Isaiah 55:1-9
Psalm 63:1-8
1 Corinthians 10:1-13
Luke 13:1-9

DAILY PRAYER: Returning to God 
Joshua 1:1-9
Ephesians 6:10-20
John 2:13-22

ALTERNATIVE PSALMS
Morning: Psalm 40
Evening: Psalms 11 and 12",Normal,Normal,3
"Adrian of May Island, Abbot, and Companions, Martyrs, 875 [6] Red",04/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"John and Charles Wesley, Priests, 1791 and 1788 [6] White (transferred from 03 March)",05/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Baldred, Bishop, 608 [6] White",06/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Perpetua and her Companions, Martyrs, 203 [6] Red",07/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Duthac, Bishop, 1068 [6] White",08/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Third Sunday of Lent,09/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Fourth Sunday of Lent [1] Violet or Lenten Array (Mothering Sunday),10/03/2013,,,,TRUE,FALSE,"Week of Lent 4
FOURTH SUNDAY OF LENT [1] Violet or Lenten Array
MOTHERING SUNDAY

EUCHARIST
Joshua 5:9-12
Psalm 32
2 Corinthians 5:16-21
Luke 15:1-3, 11b-32

or
EUCHARIST: MOTHERING SUNDAY
Exodus 2:1-10 or 1 Samuel 1:20-28
Psalm 34 or Psalm 127:1-4
2 Corinthians 1:3-7 or Colossians 3:12-17
Luke 2:33-35 or John 19:25-27

DAILY PRAYER: Returning to God 
Micah 7:1-7, (8-20)
James 5:1-12, (13-20)
John 3:14-21

ALTERNATIVE PSALMS
Morning: Psalm 31:1-8, (9-16)
Evening: Psalms 13 and 14",Normal,Normal,3
"Kessog, Bishop, c.700 [6] Red (transferred from 10 March) (Ordination of the Most Revd David Chillingworth Bishop of St Andrews, Dunkeld and Dunblane, 2005)",11/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Fourth Sunday of Lent,12/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Fourth Sunday of Lent,13/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Fourth Sunday of Lent,14/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Fourth Sunday of Lent,15/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
"Boniface of Ross, Bishop, 8th century [6] White",16/03/2013,,,,TRUE,FALSE,,Normal,Normal,3
Fifth Sunday of Lent [1] Violet or Lenten Array,17/03/2013,,,,TRUE,FALSE,"Week of Lent 5
FIFTH SUNDAY OF LENT [1] Violet or Lenten Array

EUCHARIST
Isaiah 43:16-21
Psalm 126
Philippians 3:4b-14
John 12:1-8

DAILY PRAYER: Returning to God 
Lamentations 3:19-33
Hebrews 12:18-29
Matthew 20:17-34

ALTERNATIVE PSALMS
Morning: Psalm 30
Evening: Psalm 34",Normal,Normal,3
