date,feast,colour
28/04/2013,Fifth Sunday of Easter [1] White; SPB Fourth Sunday after Easter,white
29/04/2013,"Catherine of Siena, Mystic and Teacher of the Faith, 1380 [6] White",white
30/04/2013,Tuesday after Fifth Sunday of Easter,white
01/05/2013,"Philip and James, Apostles [4] Red",red
02/05/2013,"Athenasius, Bishop and Teacher of the Faith, 373 [6] White",white
03/05/2013,Friday after Fifth Sunday of Easter,white
04/05/2013,Saturday after Fifth Sunday of Easter,white
05/05/2013,Sixth Sunday of Easter [1] White; SPB Fifth Sunday after Easter,white
06/05/2013,Monday after Sixth Sunday of Easter,white
07/05/2013,Tuesday after Sixth Sunday of Easter,white
08/05/2013,"Julian of Norwich, c.1413 [6] White",white
09/05/2013,ASCENSION DAY [1] White,white
10/05/2013,Friday after Sixth Sunday of Easter,white
11/05/2013,Saturday after Sixth Sunday of Easter,white
12/05/2013,Seventh Sunday of Easter [1] White; SPB Sunday after Ascension Day,white
13/05/2013,"Thomas Rattray, Bishop, 1743 [6] White (transferred from 12 May)",white
14/05/2013,"Matthias, Apostle [4] Red",red
15/05/2013,Wednesday after Seventh Sunday of Easter,white
16/05/2013,Thursday after Seventh Sunday of Easter,white
17/05/2013,Friday after Seventh Sunday of Easter,white
18/05/2013,Saturday after Seventh Sunday of Easter,white
19/05/2013,THE DAY OF PENTECOST (Whitsunday) [1] Red,red
20/05/2013,Monday after the Day of Pentecost (Whitsunday),white
21/05/2013,"Helena, c.330 [6] White",white
22/05/2013,Wednesday after the Day of Pentecost (Whitsunday),white
23/05/2013,"William of Perth (or Rochester), 1201 [6] White",white
24/05/2013,Friday after the Day of Pentecost (Whitsunday),white
25/05/2013,"Bede the Venerable, of Jarrow, Teacher of the Faith, 735 [6] White",white
26/05/2013,Trinity Sunday [2] White; Pentecost 1,white
27/05/2013,"Augustine of Canterbury, Bishop, c.604 [6] White (transferred from 26 May)",white
28/05/2013,Tuesday after Trinity Sunday,green
29/05/2013,Wednesday after Trinity Sunday,green
30/05/2013,Corpus Christi (Thanksgiving for Holy Communion) [5] White,white
31/05/2013,The Visit of Mary to Elizabeth [5] White,white
01/06/2013,"Justin of Rome, Martyr, c.165 [6] Red",red
02/06/2013,Pentecost 2 [3] Green; SPB Trinity 1,green
03/06/2013,"Charles Lwanga and his companions, 1886; Janani Luwum, Bishop, 1977, Martyrs of Uganda [6] Red",red
04/06/2013,"John XXIII, Bishop of Rome, Reformer, 1963 [6] White",white
05/06/2013,"Boniface of Mainz, Bishop, Missionary and Martyr, 754 [6] Red",red
06/06/2013,Thursday after Pentecost 2,green
07/06/2013,Friday after Pentecost 2,green
08/06/2013,"Ephrem the Syrian, Deacon and Teacher of the Faith, 373 [6] White",white
09/06/2013,Pentecost 3 [3] Green; SPB Trinity 2,green
10/06/2013,"Columba of Iona, Abbot, 597 [4] White (translated from 9 June)",white
11/06/2013,"Barnabus, Apostle [4] Red",red
12/06/2013,"John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White",white
13/06/2013,Thursday after Pentecost 3,green
14/06/2013,"Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White",white
15/06/2013,Saturday after Pentecost 3,green
16/06/2013,Pentecost 4 [3] Green; SPB Trinity 3,green
17/06/2013,Monday after Pentecost 4,green
18/06/2013,"Bernard Mizeki, Martyr, 1896 [6] Red",red
19/06/2013,Wednesday after Pentecost 4,green
20/06/2013,"Fillan, Abbot, c.750 [6] Red",red
21/06/2013,Friday after Pentecost 4,green
22/06/2013,"Alban, Martyr [6] Red",red
23/06/2013,Pentecost 5 [3] Green; SPB Trinity 4,green
24/06/2013,The Birth of John the Baptist [4] White,white
25/06/2013,"Moluag of Lismore, Bishop, c.592 [6] White",white
26/06/2013,"Robert Leighton, Bishop, 1684 [6] White",white
27/06/2013,"Alexander Jolly, Bishop, 1838 [6] White",white
28/06/2013,"Irenaeus of Lyons, Bishop and Teacher of the Faith, 202 [6] White",white
29/06/2013,"Peter, Apostle [4] Red, or Peter and Paul, Apostles [4] Red",red
30/06/2013,Pentecost 6 [3] Green; SPB Trinity 5,green
01/07/2013,"Serf, Bishop, c.550 [6] White",white
02/07/2013,Tuesday after Pentecost 6,green
03/07/2013,"Thomas, Apostle [4] Red (if not kept on 21 December)",red
04/07/2013,Thursday after Pentecost 6,green
05/07/2013,Friday after Pentecost 6,green
06/07/2013,"Palladius, Bishop, c.450 [6] White",white
07/07/2013,Pentecost 7 [3] Green; SPB Trinity 6,green
08/07/2013,Monday after Pentecost 7,green
09/07/2013,Tuesday after Pentecost 7,green
10/07/2013,Wednesday after Pentecost 7,green
11/07/2013,"Benedict of Nursia, Abbot, c.550 [6] White",white
12/07/2013,"Drostan of Deer, Abbot, c.600 [6] White",white
13/07/2013,Saturday after Pentecost 7,green
14/07/2013,Pentecost 8 [3] Green; SPB Trinity 7,green
15/07/2013,Monday after Pentecost 8,green
16/07/2013,Tuesday after Pentecost 8,green
17/07/2013,Wednesday after Pentecost 8,green
18/07/2013,Thursday after Pentecost 8,green
19/07/2013,Friday after Pentecost 8,green
20/07/2013,Saturday after Pentecost 8,green
21/07/2013,Pentecost 9 [3] Green; SPB Trinity 8,green
22/07/2013,Mary Magdalene [4] White,white
23/07/2013,"William Wilberforce, 1833 [6] White (translated from 21 July)",white
24/07/2013,Wednesday after Pentecost 9,green
25/07/2013,"James, Apostle [4] Red",red
26/07/2013,"Anne and Joachim, Parents of Mary, Mother of the Lord [6] White",white
27/07/2013,Saturday after Pentecost 9,green
28/07/2013,Pentecost 10 [3] Green; SPB Trinity 9,green
29/07/2013,Martha and Mary of Bethany [6] White,white
30/07/2013,"Silas, Companion of Saint Paul [6] White",white
31/07/2013,"Ignatius Loyola, Priest and Religious, 1556 [6] White",white
01/08/2013,Thursday after Pentecost 10,green
02/08/2013,Friday after Pentecost 10,green
03/08/2013,Saturday after Pentecost 10,green
04/08/2013,Pentecost 11 [3] Green; SPB Trinity 10,green
05/08/2013,"Oswald of Northumbria, Martyr, 642 [6] Red",red
06/08/2013,THE TRANSFIGURATION OF THE LORD [2] White,white
07/08/2013,"Boisil, Prior of Melrose, c.642 [6] White",white
