Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
"O Emmanuel; John of Kanty, Priest",23/12/2003,,,,TRUE,"Lectionary Details for 23/12/2003
Year: C/2 Colour: Purple   - Divine Office Week: 4
Readings for Mass First Reading: Malachi 3:1-4, 23-24 Responsorial Psalm: Psalms 25:4-5, 8-9, 10, 14 Gospel: Luke 1:57-66 Saint John of Kanty, priest - Optional Memorial Readings for Mass From the Common of pastors or From the Proper of the Season

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
CHRISTMAS EVE,24/12/2003,,,,TRUE,"Lectionary Details for 24/12/2003
Year: C/2 Colour: Purple of the Day, White for the Vigil Vigil/Midnight: Gloria Vigil/Midnight: Creed (Kneel for Incarnatus) - Divine Office Week: PROPER
Readings for Mass First Reading: Second Samuel 7:1-5, 8-11, 16 Responsorial Psalm: Psalms 89:2-3, 4-5, 27, 29 Gospel: Luke 1:67-79 Readings for Vigil Mass for Christmas First Reading: Isaiah 62:1-5 Responsorial Psalm: Psalms 89:4-5, 16-17, 27, 29 Second Reading: Acts 13:16-17, 22-25 Gospel: Matthew 1:1-25 Readings for Midnight Mass for Christmas First Reading: Isaiah 9:1-6 Responsorial Psalm: Psalms 96:1-2, 2-3, 11-12, 13 Second Reading: Titus 2:11-14 Gospel: Luke 2:1-14

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
THE NATIVITY OF OUR LORD,25/12/2003,,,,TRUE,"Lectionary Details for 25/12/2003
Year: C/2 Colour: White Gloria Creed - Divine Office Week: PROPER
Readings for Mass at Dawn First Reading: Isaiah 62:11-12 Responsorial Psalm: Psalms 97:1, 6, 11-12 Second Reading: Titus 3:4-7 Gospel: Luke 2:15-20 Readings for Mass during the day First Reading: Isaiah 52:7-10 Responsorial Psalm: Psalms 98:1, 2-3, 3-4, 5-6 Second Reading: Hebrews 1:1-6 Gospel: John 1:1-18 or 1:1-5, 9-14

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
" Stephen, first Martyr ",26/12/2003,,,,TRUE,"Lectionary Details for 26/12/2003
Year: C/2 Colour: Red Gloria  - Divine Office Week: 4
Readings for Mass From the Proper of the Season (Friday of Christmas Week) First Reading: Acts 6:8-10; 7:54-59 Responsorial Psalm: Psalms 31:3-4, 6, 7, 8, 17, 21 Gospel: Matthew 10:17-22

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
" John, Apostle and evangelist ",27/12/2003,,,,TRUE,"Lectionary Details for 27/12/2003
Year: C/2 Colour: White Gloria  - Divine Office Week: 4
Readings for Mass From the Proper of the Season (Saturday of Christmas Week) First Reading: First John 1:1-4 Responsorial Psalm: Psalms 97:1-2, 5-6, 11-12 Gospel: John 20:2-8

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
The Holy Family ; or Holy Innocents (unless translated to tomorrow),28/12/2003,,,,TRUE,"Lectionary Details for 28/12/2003
Year: C/2 Colour: White Gloria Creed - Divine Office Week: 1
Readings for Mass First Reading: Sirach 3:2-6, 12-14 Responsorial Psalm: Psalms 128:1-2, 3, 4-5 Second Reading: Colossians 3:12-21 Gospel: Luke 2:41-52

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"Monday of Christmas Week; Holy Innocents (unless kept yesterday); St Thomas a Becket, Bishop and Martyr, 1170",29/12/2003,,,,TRUE,"Lectionary Details for 29/12/2003
Year: C/2 Colour: Red Gloria  - Divine Office Week: 1
Readings for Mass First Reading: First John 2:3-11 Responsorial Psalm: Psalms 96:1-2, 2-3, 5-6 Gospel: Luke 2:22-35 Saint Thomas Becket, bishop and martyr - Optional Memorial Readings for Mass From the Common of martyrs or From the Common of pastors or From the Proper of the Season

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
Tuesday of Christmas Week,30/12/2003,,,,TRUE,"Lectionary Details for 30/12/2003
Year: C/2 Colour: White Gloria  - Divine Office Week: 1
Readings for Mass First Reading: First John 2:12-17 Responsorial Psalm: Psalms 96:7-8, 8-9, 10 Gospel: Luke 2:36-40

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"Silvester I, Pope; John Wyclif, Priest, 1384 Translator of the Scriptures",31/12/2003,,,,TRUE,"Lectionary Details for 31/12/2003
Year: C/2 Colour: White Gloria  - Divine Office Week: 1
Readings for Mass First Reading: First John 2:18-21 Responsorial Psalm: Psalms 96:1-2, 11-12, 13 Gospel: John 1:1-18 Saint Sylvester I, pope - Optional Memorial Readings for Mass From the Common of pastors [for a pope] or From the Proper of the Season

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
"Mary, Mother of God; Naming and Circumcision of Jesus",01/01/2004,,,,TRUE,"Lectionary Details for 01/01/2004
Year: C/2 Colour: White Gloria Creed - Divine Office Week: 1
Readings for Mass First Reading: Numbers 6:22-27 Responsorial Psalm: Psalms 67:2-3, 5, 6, 8 Second Reading: Galatians 4:4-7 Gospel: Luke 2:16-21

lectionary compiled from various sources by Fr. Simon Rundell, Parish of the Holy Spirit, Southsea, released as prayerware, please pray for us. http://www.hlyspirit.org.uk/cms/index.php",3
