Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
The Confession of Peter [6] White,18/01/2008,00:00:00,19/01/2008,00:00:00,TRUE,FALSE,17/01/2008,23:45:00,,,,,,,"Daily Eucharist
1 Samuel 8:4-7, 10-22a
Psalm 89:15-18
Mark 2:1-12

Daily Prayer
Genesis 6:1-8
Hebrews 3:12-19
John 2:1-12 
",,,Normal,,Normal,3
Saturday of Epiphany 1,19/01/2008,00:00:00,20/01/2008,00:00:00,TRUE,FALSE,18/01/2008,23:45:00,,,,,,,"Daily Eucharist
1 Samuel 9:1-4, 15-19;  10:1ab (not c) 
Psalm 21:1-7
Mark 2:13-17

Daily Prayer
Genesis 6:9-22
Hebrews 4:1-13
John 2:13-22

",,,Normal,,Normal,3
Second Sunday after Epiphany  [3] Green (Third Sunday before Lent) / SPB Septuagesima [Violet],20/01/2008,00:00:00,21/01/2008,00:00:00,TRUE,FALSE,19/01/2008,23:45:00,,,,,,,"Eucharist
Isaiah 49:1-7
Psalm 40:1-12
1 Corinthians 1:1-9
John 1:29-42

Daily Prayer
Isaiah 60:9-22
Galatians 1:11-24
John 1:43-51
",,,Normal,,Normal,3
"Agnes,  Martyr,  c:304 [6] Red",21/01/2008,00:00:00,22/01/2008,00:00:00,TRUE,FALSE,20/01/2008,23:45:00,,,,,,,"Daily Eucharist
1 Samuel 15:16-23 
Psalm 50:7-15, 24 
Mark 2:18-22 

Daily Prayer
Genesis 7:1-10, 17-23 
Hebrews 4:14-5:6 
John 2:23-3:15
",,,Normal,,Normal,3
Tuesday of Epiphany 2,22/01/2008,00:00:00,23/01/2008,00:00:00,TRUE,FALSE,21/01/2008,23:45:00,,,,,,,"Daily Eucharist
1 Samuel 16:1-13
Psalm 89:19-27
Mark 2:23-28

Daily Prayer
Genesis 8:6-22
Hebrews 5:7-14
John 3:16-21 
",,,Normal,,Normal,3
Wednesday of Epiphany 2,23/01/2008,00:00:00,24/01/2008,00:00:00,TRUE,FALSE,22/01/2008,23:45:00,,,,,,,"Daily Eucharist
1 Samuel 17:32-51
Psalm 144: 1-10
Mark 3:1-6 

Daily Prayer
Genesis 9:1-29
Hebrews 6:1-12
John 3:22-36
",,,Normal,,Normal,3
"Francis de Sales,  Bishop,  1622 [6] White",24/01/2008,00:00:00,25/01/2008,00:00:00,TRUE,FALSE,23/01/2008,23:45:00,,,,,,,"Daily Eucharist
1 Samuel 18:6-9;  19:1-8
Psalm 56
Mark 3:7-12 

Daily Prayer
Genesis 11:1-9
Hebrews 6:13-20
John 4:1-15 
",,,Normal,,Normal,3
"The Conversion of Paul,  Apostle [4] White",25/01/2008,00:00:00,26/01/2008,00:00:00,TRUE,FALSE,24/01/2008,23:45:00,,,,,,,"Eucharist
Acts 26:9-23
Psalm 67
Galatians 1:11-24
Matthew 10:16-22 or 19:27-30

Daily Prayer
Morning:
Isaiah 45:18-25
Philippians 3:4b-11

Evening:
Sirach 39:1-10
Acts 9:1-22
",,,Normal,,Normal,3
"Timothy and Titusus,  BishoPsalm [6] White",26/01/2008,00:00:00,27/01/2008,00:00:00,TRUE,FALSE,25/01/2008,23:45:00,,,,,,,"Daily Eucharist
Sa 1:1-4, 11-12, 19-27
Psalm 80:1-7
John 8:51-59 

Daily Prayer
Genesis 13:2-18
Hebrews 7:18-28
John 4:27-42
",,,Normal,,Normal,3
Third Sunday after Epiphany [3] Green (Second Sunday before Lent) / SPB Sexagesima [Violet],27/01/2008,00:00:00,28/01/2008,00:00:00,TRUE,FALSE,26/01/2008,23:45:00,,,,,,,"Eucharist
Isaiah 9:1-4
Psalm 27:1, 5-13
1 Corinthians 1:10-18
Matthew 4:12-23

Daily Prayer
Jeremiah 3:21-4:2
1 Peter 1:3-12
Luke 4:12-21
",,,Normal,,Normal,3
"Thomas Aquinas,  Teacher of the Faith,  1274 [6] White",28/01/2008,00:00:00,29/01/2008,00:00:00,TRUE,FALSE,27/01/2008,23:45:00,,,,,,,"Daily Eucharist 
2 Samuel 5:1-7, 10 
Psalm 89:19-28 
Mark 3:19b-30 

Daily Prayer
Genesis 14: (1-7) 8-24
Hebrews 8:1-13
John 4:43-54
",,,Normal,,Normal,3
"John Chrysostom,  Bishop and Teacher of the Faith,  407 [6] White (translated from 27 January) ",29/01/2008,00:00:00,30/01/2008,00:00:00,TRUE,FALSE,28/01/2008,23:45:00,,,,,,,"Daily Eucharist
2 Samuel 6:12b-19 
Psalm 24:7-10 
Mark 3:31-35

Daily Prayer
Genesis 15:1-11, 17-21
Hebrews 9:1-14
John 5:1-18 
",,,Normal,,Normal,3
"Charles I,  King,  1649 [6] Red",30/01/2008,00:00:00,31/01/2008,00:00:00,TRUE,FALSE,29/01/2008,23:45:00,,,,,,,"Daily Eucharist
2 Samuel 7:4-17
Psalm 89:1-4
Mark 4:1-20 

Daily Prayer
Genesis 16:1-14
Hebrews 9:15-28
John 5:19-29
",,,Normal,,Normal,3
"Charles Mackenzie of Central Africa,  Bishop,  Missionary,  Martyr,  1862 [6] Red",31/01/2008,00:00:00,01/02/2008,00:00:00,TRUE,FALSE,30/01/2008,23:45:00,,,,,,,"Daily Eucharist
2 Samuel 7:18-19,  24-29 
Psalm 132:1-5, 11-15 
Mark 4:21-25 

Daily Prayer
Genesis 16:15-17:14
Hebrews 10:1-10
John 5:30-47
",,,Normal,,Normal,3
"Bride of Kildare,  Abbess,  c:525 [6] White",01/02/2008,00:00:00,02/02/2008,00:00:00,TRUE,FALSE,31/01/2008,23:45:00,,,,,,,"Daily Eucharist
2 Samuel 11:1-17
Psalm 51:1-10
Mark 4:26-34

Daily Prayer
Genesis 17:15-27
Hebrews 10:11-25
John 6:1-15 

or The Presentation of the Lord
Evening:
1 Samuel 1:20-28a
Romans 8:14-21
",,,Normal,,Normal,3
THEvening: PRESENTATION OF THEvening: LORD [2] White,02/02/2008,00:00:00,03/02/2008,00:00:00,TRUE,FALSE,01/02/2008,23:45:00,,,,,,,"Eucharist
Malachi 3:1-4
Psalm 84 or 24:7-10
Hebrews 2:14-18
Luke 2:22-40

Daily Prayer
Morning:
1 Samuel 2:1-10
John 8:31-36

Evening:
Haggai 2:1-9
1 John 3:1-8
",,,Normal,,Normal,3
Sunday before Lent [3] Green / SPB Quinquagesima [Violet],03/02/2008,00:00:00,04/02/2008,00:00:00,TRUE,FALSE,02/02/2008,23:45:00,,,,,,,"WEEK OF THEvening: BEGINNING OF LENT
Those who do not wish to use the Transfiguration readings given below should take the readings from the numbered Proper which corresponds most closely to the date of the Sunday before Ash Wednesday:

Eucharist
Exodus 24:12-18
Psalm 2 or Psalm 99
2 Peter 1:16-21
Matthew 17:1-9

Daily Prayer
Proverbs 27:1-6, 10-12
Philippians 2:1-13
John 18:15-18, 25-27
",,,Normal,,Normal,3
