Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as
"Athenasius, Bishop and Teacher of the Faith, 373 [6] White (translated from 2 May) DP New Life: The Spirit (until the evening of the Day of Pentecost)",03/05/2008,,,,TRUE,,3
Seventh Sunday of Easter [1] White / SPB Sunday after Ascension Day,04/05/2008,,,,TRUE,,3
Monday of Easter 7,05/05/2008,,,,TRUE,,3
Tuesday of Easter 7,06/05/2008,,,,TRUE,,3
Wednesday of Easter 7,07/05/2008,,,,TRUE,,3
"Julian of Norwich, c.1413 [6] White (translated from 8th)",08/05/2008,,,,TRUE,,3
Friday of Easter 7,09/05/2008,,,,TRUE,,3
Saturday of Easter 7,10/05/2008,,,,TRUE,,3
THE DAY OF PENTECOST (Whitsunday) [1] Red,11/05/2008,,,,TRUE,,3
"Thomas Rattray, Bishop, 1743 [6] White",12/05/2008,,,,TRUE,,3
Tuesday after Pentecost,13/05/2008,,,,TRUE,,3
"Matthias, Apostle [4] Red",14/05/2008,,,,TRUE,,3
Thursday after Pentecost,15/05/2008,,,,TRUE,,3
Friday after Pentecost,16/05/2008,,,,TRUE,,3
Saturday after Pentecost,17/05/2008,,,,TRUE,,3
Trinity Sunday [2] (Pentecost 1) White,18/05/2008,,,,TRUE,,3
Monday of Pentecost 1,19/05/2008,,,,TRUE,,3
Tuesday of Pentecost 1,20/05/2008,,,,TRUE,,3
"Helena, c.330 [6] White",21/05/2008,,,,TRUE,,3
Corpus Christi [5] White,22/05/2008,,,,TRUE,,3
"William of Perth (or Rochester), 1201 [6] White",23/05/2008,,,,TRUE,,3
Saturday of Pentecost 1,24/05/2008,,,,TRUE,,3
Pentecost 2 [3] Green / SPB Trinity 1,25/05/2008,,,,TRUE,,3
"Augustine of Canterbury, Bishop, c.604 [6] White",26/05/2008,,,,TRUE,,3
"Bede the Venerable, of Jarrow, Teacher of the Faith, 735 [6] White (translated from 25 May)",27/05/2008,,,,TRUE,,3
Wednesday of Pentecost 2,28/05/2008,,,,TRUE,,3
Thursday of Pentecost 2,29/05/2008,,,,TRUE,,3
Friday of Pentecost 2,30/05/2008,,,,TRUE,,3
The Visit of Mary to Elizabeth [5] White,31/05/2008,,,,TRUE,,3
Pentecost 3 [3] Green / SPB Trinity 2,01/06/2008,,,,TRUE,,3
"Justin of Rome, Martyr, c.165 [6] Red (translated from 1 June)",02/06/2008,,,,TRUE,,3
"Charles Lwanga and his companions, 1886; Janani Luwum, Bishop, 1977, Martyrs of Uganda [6] Red",03/06/2008,,,,TRUE,,3
"John XXIII, Bishop of Rome, Reformer, 1963 [6] White",04/06/2008,,,,TRUE,,3
"Boniface of Mainz, Bishop, Missionary and Martyr, 754 [6] Red",05/06/2008,,,,TRUE,,3
Friday of Pentecost 3,06/06/2008,,,,TRUE,,3
Saturday of Pentecost 3,07/06/2008,,,,TRUE,,3
"Pentecost 4 [3] Green / SPB Trinity 3 (Ordination of the Bishop of Argyll, 2004)",08/06/2008,,,,TRUE,,3
"Columba of Iona, Abbot, 597 [4] White",09/06/2008,,,,TRUE,,3
"Ephrem the Syrian, Deacon and Teacher of the Faith, 373 [6] White (translated from 8 June)",10/06/2008,,,,TRUE,,3
"Barnabus, Apostle [4] Red",11/06/2008,,,,TRUE,,3
"John Skinner, Priest, 1807, and John Skinner, Bishop, 1816 [6] White",12/06/2008,,,,TRUE,,3
Friday of Pentecost 4,13/06/2008,,,,TRUE,,3
"Basil of Caesarea, 379; Gregory of Nazianzus, c.390; Gregory of Nyssa, 394, Bishops and Teachers of the Faith [6] White",14/06/2008,,,,TRUE,,3
Pentecost 5 [3] Green / SPB Trinity 4,15/06/2008,,,,TRUE,,3
Monday of Pentecost 5,16/06/2008,,,,TRUE,,3
Tuesday of Pentecost 5,17/06/2008,,,,TRUE,,3
"Bernard Mizeki, Martyr, 1896 [6] Red",18/06/2008,,,,TRUE,,3
Thursday of Pentecost 5,19/06/2008,,,,TRUE,,3
Friday of Pentecost 5,20/06/2008,,,,TRUE,,3
Saturday of Pentecost 5,21/06/2008,,,,TRUE,,3
Pentecost 6 [3] Green / SPB Trinity 5,22/06/2008,,,,TRUE,,3
"Alban, Martyr [6] Red (translated from 22 June) (Installation of the Bishop of Edinburgh, 2001)",23/06/2008,,,,TRUE,,3
The Birth of John the Baptist [4] White,24/06/2008,,,,TRUE,,3
"Moluag of Lismore, Bishop, c.592 [6] White",25/06/2008,,,,TRUE,,3
"Robert Leighton, Bishop, 1684 [6] White",26/06/2008,,,,TRUE,,3
"Alexander Jolly, Bishop, 1838 [6] White",27/06/2008,,,,TRUE,,3
"Irenaeus of Lyons, Bishop and Teacher of the Faith, 202 [6] White",28/06/2008,,,,TRUE,,3
Pentecost 7 [3] Green / SPB Trinity 6,29/06/2008,,,,TRUE,,3
"Peter, Apostle or Peter and Paul, Apostles [4] Red",30/06/2008,,,,TRUE,,3
"Serf, Bishop, c.550 [6] White",01/07/2008,,,,TRUE,,3
Wednesday of Pentecost 7,02/07/2008,,,,TRUE,,3
"Thomas, Apostle [4] Red (if not kept on 21 December)",03/07/2008,,,,TRUE,,3
Friday of Pentecost 7,04/07/2008,,,,TRUE,,3
Saturday of Pentecost 7,05/07/2008,,,,TRUE,,3
Pentecost 8 [3] Green / SPB Trinity 7,06/07/2008,,,,TRUE,,3
"Palladius, Bishop, c.450 [6] White (translated from 6 July)",07/07/2008,,,,TRUE,,3
Tuesday of Pentecost 8,08/07/2008,,,,TRUE,,3
Wednesday of Pentecost 8,09/07/2008,,,,TRUE,,3
Thursday of Pentecost 8,10/07/2008,,,,TRUE,,3
"Benedict of Nursia, Abbot, c.550 [6] White",11/07/2008,,,,TRUE,,3
"Drostan of Deer, Abbot, c.600 [6] White",12/07/2008,,,,TRUE,,3
Pentecost 9 [3] Green / SPB Trinity 8,13/07/2008,,,,TRUE,,3
Monday of Pentecost 9,14/07/2008,,,,TRUE,,3
Tuesday of Pentecost 9,15/07/2008,,,,TRUE,,3
Wednesday of Pentecost 9,16/07/2008,,,,TRUE,,3
Thursday of Pentecost 9,17/07/2008,,,,TRUE,,3
Friday of Pentecost 9,18/07/2008,,,,TRUE,,3
Saturday of Pentecost 9,19/07/2008,,,,TRUE,,3
Pentecost 10 [3] Green / SPB Trinity 9,20/07/2008,,,,TRUE,,3
"William Wilberforce, 1833 [6] White",21/07/2008,,,,TRUE,,3
Mary Magdalene [4] White,22/07/2008,,,,TRUE,,3
Wednesday of Pentecost 10,23/07/2008,,,,TRUE,,3
Thursday of Pentecost 10,24/07/2008,,,,TRUE,,3
"James, Apostle [4] Red",25/07/2008,,,,TRUE,,3
"Anne and Joachim, Parents of Mary, Mother of the Lord [6] White",26/07/2008,,,,TRUE,,3
Pentecost 11 [3] Green / SPB Trinity 10,27/07/2008,,,,TRUE,,3
Monday of Pentecost 11,28/07/2008,,,,TRUE,,3
Martha and Mary of Bethany [6] White,29/07/2008,,,,TRUE,,3
"Silas, Companion of Saint Paul [6] White",30/07/2008,,,,TRUE,,3
"Ignatius Loyola, Priest and Religious, 1556 [6] White",31/07/2008,,,,TRUE,,3
Friday of Pentecost 11,01/08/2008,,,,TRUE,,3
Saturday of Pentecost 11,02/08/2008,,,,TRUE,,3
Pentecost 12 [3] Green / SPB Trinity 11,03/08/2008,,,,TRUE,,3
