Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
"Paul Miki, Priest, and the Martyrs of Japan, 1597 [6] Red (translated from 06 February)",07/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Epiphany 5,08/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Epiphany 5,09/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Scholastica, Religious, 543 [6] White",10/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Epiphany 5,11/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Epiphany 5,12/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Sixth Sunday after Epiphany [3] Green,13/02/2011,,,,TRUE,FALSE,"Sixth Sunday after Epiphany [3] Green | Week of Proper 6

EUCHARIST
Deuteronomy 30:15-20 or Sirach 15:15-20
Psalm 119:1-8
1 Corinthians 3:1-9
Matthew 5:21-37

DAILY PRAYER: Week B 
Amos 3:1-8
Ephesians 5:1-17
Mark 1:40-45

ALTERNATIVE PSALMS
Morning: Psalm 13
Evening: Psalm 6",Normal,Normal,3
"Cyril, Monk, 869, and Methodius, Bishop, 885, 'Apostles of the Slavs' [6] White",14/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas Bray, Priest and Missionary, 1730 [6] White",15/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Epiphany 6,16/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Finan of Lindisfarne, Bishop, 661 [6] White",17/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Colman of Lindisfarne, Bishop, 767 [6] White",18/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Martin Luther, 1545 [6] White",19/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Seventh Sunday after Epiphany [3] Green,20/02/2011,,,,TRUE,FALSE,"Seventh Sunday after Epiphany [3] Green | Week of Proper 7
Second Sunday before Lent
SPB Septuagesima [Violet]

EUCHARIST
Leviticus 19:1-2, 9-18
Psalm 119:33-40
1 Corinthians 3:10-11, 16-23
Matthew 5:38-48

DAILY PRAYER: Week C 
Amos 9:5-15
Ephesians 6:1-20
Mark 2:1-12

ALTERNATIVE PSALMS
Morning: Psalm 18:1-19 or 18:19-29
Evening: Psalm 10",Normal,Normal,3
Monday after Epiphany 7,21/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Epiphany 7,22/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Polycarp of Smyrna, Bishop and Martyr, 156 [6] Red",23/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Epiphany 7,24/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Epiphany 7,25/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Epiphany 7,26/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
Eighth Sunday after Epiphany [3] Green,27/02/2011,,,,TRUE,FALSE,"Eighth Sunday after Epiphany [3] Green | Week of Proper 8
Second Sunday before Lent
SPB Sexagesima [Violet]

EUCHARIST
Isaiah 49:8-16a
Psalm 131
1 Corinthians 4:1-5
Matthew 6:24-34

DAILY PRAYER: Week D 
Proverbs 8:1, 22-31
Revelation 4
Luke 12:16-31

ALTERNATIVE PSALMS
Morning: Psalm 148
Evening: Psalm 65",Normal,Normal,3
Monday after Epiphany 8,28/02/2011,,,,TRUE,FALSE,,Normal,Normal,3
"David, Bishop, Patron of Wales, c.544 [6] White",01/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Chad of Lichfield, Bishop, 672 [6] White",02/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"John and Charles Wesley, Priests, 1791 and 1788 [6] White",03/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Adrian of May Island, Abbot, and Companions, Martyrs, 875 [6] Red",04/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Eighth Sunday after Epiphany,05/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
Sunday before Lent (Transfiguration) [3] Green (SPB Quinquagesima - Violet),06/03/2011,,,,TRUE,FALSE,"Sunday before Lent (Transfiguration) [3] Green | Week of Proper 9
SPB Quinquagesima [Violet]

EUCHARIST: Sunday before Lent (Transfiguration)
Exodus 24:12-18
Psalm 2 or Psalm 99
2 Peter 1:16-21
Matthew 17:1-9

EUCHARIST: Continuous (Week of Proper 9)
Genesis 6:9-22; 7:24; 8:14-19
Psalm 46
Romans 1:16-17; 3:22b-28, (29-31)
Matthew 7:21-29

EUCHARIST: Thematic (Week of Proper 9)
Deuteronomy 11:8-21, 26-28
Psalm 31:1-5, 19-24
Romans 1:16-17; 3:22b-28, (29-31)
Matthew 7:21-29

DAILY PRAYER: Week A
Sirach 48:1-10 or 2 Kings 2:1-12
2 Corinthians 4:3-6
John 12:27-36a

ALTERNATIVE PSALMS
Morning: Psalm 84
Evening: Psalm 99",Normal,Normal,3
"Perpetua and her Companions, Martyrs, 203 [6] Red",07/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Duthac, Bishop, 1068 [6] White",08/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
Ash Wednesday [1] Violet or Lenten Array,09/03/2011,,,,TRUE,FALSE,"ASH WEDNESDAY [1] Violet or Lenten Array

DAILY EUCHARIST
Joel 2:1-2, 12-17 or Isaiah 58:1-12
Psalm 51:1-17
2 Corinthians 5:20b - 6:10
Matthew 6:1-6, 16-21

DAILY PRAYER: Returning to God 
Jonah 3:1-4, 11
Hebrews 12:1-14
Luke 18:9-14",Normal,Normal,3
"Kessog, Bishop, c.700 [6] Red (Ordination of the Bishop of St Andrews, 2005)",10/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Baldred, Bishop, 608 [6] White (translated from 06 March)",11/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Ash Wednesday,12/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
First Sunday of Lent [1] Violet or Lenten Array,13/03/2011,,,,TRUE,FALSE,"First Sunday of Lent [1] Violet or Lenten Array

EUCHARIST
Genesis 2;15-17; 3:1-7
Psalm 32
Romans 5:12-19
Matthew 4:1-11

DAILY PRAYER: Returning to God 
Deuteronomy 6:4-9, 16-25
Romans 5:12-19
Luke 15:1-10

ALTERNATIVE PSALMS
Morning: Psalm 50:1-15
Evening: Psalm 119:17-32",Normal,Normal,3
Monday after Lent 1,14/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Lent 1,15/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Boniface of Ross, Bishop, 8th century [6] White",16/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Patrick, Bishop, Patron of Ireland, 461 [4] White",17/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White",18/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
Joseph of Nazareth [4] White,19/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
Second Sunday of Lent [1] Violet or Lenten Array,20/03/2011,,,,TRUE,FALSE,"Second Sunday of Lent [1] Violet or Lenten Array

EUCHARIST
Genesis 12:1-4a
Psalm 121
Romans 4:1-5, 13-17
John 3:1-17 or Matthew 17:1-9

DAILY PRAYER: Returning to God 
Numbers 21:4-9
Galatians 3:1-9, 23-29
Luke 14:27-33

ALTERNATIVE PSALMS
Morning: Psalm 135:1-14
Evening: Psalm 74",Normal,Normal,3
"Thomas Cranmer, Bishop, 1556 [6] Red",21/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Thomas Ken, Bishop, 1711 [6] White",22/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Cuthbert, Bishop, 687 [6] White (translated from 20 March)",23/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Paul Couturier, Priest, 1953 [6] White",24/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
THE ANNUNCIATION OF THE LORD [2] White,25/03/2011,,,,TRUE,FALSE,"Friday after Lent 2
THE ANNUNCIATION OF THE LORD [2] White

DAILY EUCHARIST
Isaiah 7:10-14
Psalm 40:5-10 or Psalm 45
Hebrews 10:4-10
Luke 1:26-38

MORNING PRAYER: Festivals
Isaiah 52:7-12
Hebrews 2:5-10

EVENING PRAYER: Festivals
Wisdom of Solomon 9:1-12
John 1:9-14",Normal,Normal,3
Saturday after Lent 2,26/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
Third Sunday of Lent [1] Violet or Lenten Array,27/03/2011,,,,TRUE,FALSE,"Third Sunday of Lent [1] Violet or Lenten Array

EUCHARIST
Exodus 17:1-7
Psalm 95
Romans 5:1-11
John 4:5-42

DAILY PRAYER: Returning to God 
Joshua 1:1-9
Ephesians 6:10-20
John 2:13-22

ALTERNATIVE PSALMS
Morning: Psalm 40
Evening: Psalms 11 and 12",Normal,Normal,3
"Patrick Forbes, Bishop, 1636, and the Aberdeen Doctors, Teachers of the Faith [6] White",28/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"John Keble, Priest, 1866 [6] White",29/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Lent 3,30/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Lent 3,31/03/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Gilbert of Caithness, Bishop, 1245 [6] White",01/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
Saturday after Lent 3,02/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
Fourth Sunday of Lent (Mothering Sunday) [1] Violet or Lenten Array,03/04/2011,,,,TRUE,FALSE,"Fourth Sunday of Lent [1] Violet or Lenten Array
Mothering Sunday

EUCHARIST: Mothering Sunday
Exodus 2:1-10 or 1 Samuel 1:20-28
Psalm 34 or Psalm 127:1-4
2 Corinthians 1:3-7 or Colossians 3:12-17
Luke 2:33-35 or John 19:25-27

DAILY EUCHARIST: Lent 4
1 Samuel 16:1-13
Psalm 23
Ephesians 5:8-14
John 9:1-41

DAILY PRAYER: Returning to God 
Micah 7:1-7, (8-20)
James 5:1-12, (13-20)
John 3:14-21

ALTERNATIVE PSALMS
Morning: Psalm 31:1-8, (9-16)
Evening: Psalm 13 and 14",Normal,Normal,3
Monday after Lent 4,04/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
Tuesday after Lent 4,05/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
Wednesday after Lent 4,06/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Lent 4,07/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Lent 4,08/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Dietrich Bonhoeffer, Theologian and Martyr, 1945 [6] Red",09/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
Fifth Sunday of Lent [1] Violet or Lenten Array,10/04/2011,,,,TRUE,FALSE,"Fifth Sunday of Lent [1] Violet or Lenten Array

EUCHARIST
Ezekiel 37:1-14
Psalm 130
Romans 8:6-11
John 11:1-45

DAILY PRAYER: Returning to God 
Lamentations 3:19-33
Hebrews 12:18-29
Matthew 20:17-34

ALTERNATIVE PSALMS
Morning: Psalm 30
Evening: Psalm 34",Normal,Normal,3
"George Augustus Selwyn, Bishop and Missionary, 1878 [6] White",11/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
"William Forbes, Bishop, 1634 [6] White",12/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
"William Law, Priest, 1761 [6] White (translated from 10 April)",13/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
Thursday after Lent 5,14/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
Friday after Lent 5,15/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
"Magnus of Orkney, Martyr, c.1116 [6] Red",16/04/2011,,,,TRUE,FALSE,,Normal,Normal,3
The Sunday of the Passion (Palm Sunday) [1] Red or Violet,17/04/2011,,,,TRUE,FALSE,"THE SUNDAY OF THE PASSION (PALM SUNDAY) [1] Red or Violet | Holy Week

EUCHARIST
Liturgy of the Palms
Matthew 21:1-11
Psalm 11:1-2, 19-29

Liturgy of the Passion
Isaiah 50:4-9a
Psalm 31:9-16
Philippians 2:5-11
Matthew 26:14 - 27:66 or Matthew 27:11-54

MORNING PRAYER: The Suffering Christ
Zechariah 9:9-12
1 Timothy 6:12-16

EVENING PRAYER: The Suffering Christ
Zechariah 12:9-11; 13:1, 7-9
Matthew 21:12-17",Normal,Normal,3
