Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Description,Priority,Sensitivity,Show time as
Second Sunday after Christmas [3] White,02/01/2011,,,,TRUE,FALSE,"Second Sunday after Christmas [3] White | Week of Christmas 2

EUCHARIST
Jeremiah 31:7-14 or Sirach 24:1-12
Psalm 147:12-20 or Wisdom 10:15-21
Ephesians 1:3-14
John 1:(1-9), 10-18

DAILY PRAYER: Incarnation 
Isaiah 41:21-42
Romans 12:1-8
Matthew 2:12-23

ALTERNATIVE PSALMS
Morning: Psalm 135:1-14
Evening: Psalm 87",Normal,Normal,3
"Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red (translated from 29 December)",03/01/2011,,,,TRUE,FALSE,"Monday after Christmas 2 (3 January)
Thomas of Canterbury, Bishop and Martyr, 1170 [6] Red (translated from 29 December)

DAILY EUCHARIST
1 John 3:1-6
Psalm 98:1-2, 4-7
John 1:29-34

DAILY PRAYER: Incarnation 
Genesis 28:10-22
Hebrews 11:13-22
John 10:7-17",Normal,Normal,3
"Seraphim of Sarov, 1833 [6] White (translated from 2 January)",04/01/2011,,,,TRUE,FALSE,"Tuesday after Christmas 2 (4 January)
Seraphim of Sarov, 1833 [6] White (translated from 2 January)

DAILY EUCHARIST
1 John 3:7-10
Psalm 98:1-2, 8-10
John 1:35-42

DAILY PRAYER: Incarnation 
Exodus 3:1-12
Hebrews 11:23-31
John 14:6-14",Normal,Normal,3
Wednesday after the Second Sunday after Christmas,05/01/2011,,,,TRUE,FALSE,"Wednesday after Christmas 2 (5 January)
Wednesday after the Second Sunday after Christmas [White]

DAILY EUCHARIST
1 John 3:11-18
Psalm 100
John 1:43-51

MORNING PRAYER: Incarnation 
Morning:
Joshua 1:1-9
Hebrews 11:32 - 12:2
John 15:1-16

EVENING PRAYER: Incarnation
Isaiah 66:18-22
Romans 15:7-13",Normal,Normal,3
THE EPIPHANY [1] White,06/01/2011,,,,TRUE,FALSE,"Thursday after Christmas 2 (6 January)
THE EPIPHANY [1] White

DAILY EUCHARIST
1 Isaiah 60:1-6
Psalm 72:1-7, 10-14
Ephesians 3:1-12
Matthew 2:1-12

DAILY PRAYER: Incarnation 
Isaiah 52:7-10
Revelation 21:22-27
Matthew 12:14-21",Normal,Normal,3
Friday after The Epiphany,07/01/2011,,,,TRUE,FALSE,"Friday after The Epiphany (7 January) [White]

DAILY EUCHARIST
1 John 3:18 - 4:6
Psalm 2
Matthew 4:12-17

DAILY PRAYER: Incarnation 
Isaiah 52:3-6
Revelation 2:1-7
John 2:1-11",Normal,Normal,3
Saturday after The Epiphany,08/01/2011,,,,TRUE,FALSE,"Saturday after The Epiphany (8 January) [White]

DAILY EUCHARIST
1 John 4:7-12
Psalm 72:1-8
Mark 6:30-44

DAILY PRAYER: Incarnation 
Isaiah 59:15-21
Revelation 2:8-17
John 4:46-54",Normal,Normal,3
First Sunday after Epiphany: The Baptism of the Lord [2] White,09/01/2011,,,,TRUE,FALSE,"First Sunday after Epiphany: The Baptism of the Lord [2] White | Week of Proper 1

EUCHARIST
Isaiah 42:1-9
Psalm 29
Acts 10:34-43
Matthew 3:13-17

DAILY PRAYER: Festivals 
Joshua 3:1-8, 14-17
Hebrews 1:1-12
Matthew 3:13-17

ALTERNATIVE PSALMS
Morning: Psalm 46
Evening: Psalm 89:20-29",Normal,Normal,3
"William Laud, Bishop, 1645 [6] Red",10/01/2011,,,,TRUE,FALSE,"Monday after Epiphany 1 | Week of Proper 1
William Laud, Bishop, 1645 [6] Red

DAILY EUCHARIST
Hebrews 1:1-6
Psalm 97
Mark 1:14-20

DAILY PRAYER: Week A 
Isaiah 40:1-17
Ephesians 1:1-14
Mark 1:1-13",Normal,Normal,3
"David, King of Scots, 1153 [6] Red",11/01/2011,,,,TRUE,FALSE,"Tuesday after Epiphany 1 | Week of Proper 1
David, King of Scots, 1153 [6] Red

DAILY EUCHARIST
Hebrews 2:5-12
Psalm 8
Mark 1:21-28

DAILY PRAYER: Week A 
Isaiah 40:18-31
Ephesians 1:15-23
Mark 1:14-28",Normal,Normal,3
Wednesday after Epiphany 1,12/01/2011,,,,TRUE,FALSE,"Wednesday after Epiphany 1 [Green] | Week of Proper 1

DAILY EUCHARIST
Hebrews 2:14-18
Psalm 105:1-15
Mark 1:29-39

DAILY PRAYER: Week A 
Isaiah 41:1-16
Ephesians 2:1-10
Mark 1:29-45",Normal,Normal,3
"Kentigern (or Mungo), Bishop c.603 [4] White",13/01/2011,,,,TRUE,FALSE,"Thursday after Epiphany 1 | Week of Proper 1
Kentigern (or Mungo), Bishop c.603 [4] White

DAILY EUCHARIST
Isaiah 52:7-10
Psalm 16:5-11
1 Thessalonians 2:2-12 or 1 Corinthians 9:16-19, 22-23
Matthew 28:16-20

MORNING PRAYER: Festivals
Isaiah 44:1-8
1 Thessalonians 1:2-10 or 2 Corinthians 2:12 - 3:11

EVENING PRAYER: Festivals
Sirah 50:1-24 or Isaiah 52:7-12
John 1:1-18",Normal,Normal,3
