Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
"Colman of Lindisfarne, Bishop, 767 [6] White",18/02/2010,00:00:00,19/02/2010,00:00:00,TRUE,FALSE,17/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Martin Luther, 1545 [6] White",19/02/2010,00:00:00,20/02/2010,00:00:00,TRUE,FALSE,18/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Finan of Lindisfarne, Bishop, 661 [6] White (translated from 17 February)",20/02/2010,00:00:00,21/02/2010,00:00:00,TRUE,FALSE,19/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
First Sunday of Lent [1] Violet or Lenten Array,21/02/2010,00:00:00,22/02/2010,00:00:00,TRUE,FALSE,20/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday after First Sunday of Lent,22/02/2010,00:00:00,23/02/2010,00:00:00,TRUE,FALSE,21/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Polycarp of Smyrna, Bishop and Martyr, 156 [6] Red",23/02/2010,00:00:00,24/02/2010,00:00:00,TRUE,FALSE,22/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after First Sunday of Lent,24/02/2010,00:00:00,25/02/2010,00:00:00,TRUE,FALSE,23/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after First Sunday of Lent,25/02/2010,00:00:00,26/02/2010,00:00:00,TRUE,FALSE,24/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after First Sunday of Lent,26/02/2010,00:00:00,27/02/2010,00:00:00,TRUE,FALSE,25/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after First Sunday of Lent,27/02/2010,00:00:00,28/02/2010,00:00:00,TRUE,FALSE,26/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Second Sunday of Lent [1] Violet or Lenten Array,28/02/2010,00:00:00,01/03/2010,00:00:00,TRUE,FALSE,27/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"David, Bishop, Patron of Wales, c.544 [6] White",01/03/2010,00:00:00,02/03/2010,00:00:00,TRUE,FALSE,28/02/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Chad of Lichfield, Bishop, 672 [6] White",02/03/2010,00:00:00,03/03/2010,00:00:00,TRUE,FALSE,01/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"John and Charles Wesley, Priests, 1791 and 1788 [6] White",03/03/2010,00:00:00,04/03/2010,00:00:00,TRUE,FALSE,02/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Adrian of May Island, Abbot, and Companions, Martyrs, 875 [6] Red",04/03/2010,00:00:00,05/03/2010,00:00:00,TRUE,FALSE,03/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Second Sunday of Lent,05/03/2010,00:00:00,06/03/2010,00:00:00,TRUE,FALSE,04/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Baldred, Bishop, 608 [6] White",06/03/2010,00:00:00,07/03/2010,00:00:00,TRUE,FALSE,05/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Third Sunday of Lent [1] Violet or Lenten Array,07/03/2010,00:00:00,08/03/2010,00:00:00,TRUE,FALSE,06/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Duthac, Bishop, 1068 [6] White",08/03/2010,00:00:00,09/03/2010,00:00:00,TRUE,FALSE,07/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Perpetua and her Companions, Martyrs, 203 [6] Red (translated from 8 March)",09/03/2010,00:00:00,10/03/2010,00:00:00,TRUE,FALSE,08/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Kessog, Bishop, c.700 [6] Red",10/03/2010,00:00:00,11/03/2010,00:00:00,TRUE,FALSE,09/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Thursday after Third Sunday of Lent (Ordination of the Bishop of St Andrews, 2005)",11/03/2010,00:00:00,12/03/2010,00:00:00,TRUE,FALSE,10/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Third Sunday of Lent,12/03/2010,00:00:00,13/03/2010,00:00:00,TRUE,FALSE,11/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Third Sunday of Lent,13/03/2010,00:00:00,14/03/2010,00:00:00,TRUE,FALSE,12/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Fourth Sunday of Lent [1] Violet or Lenten Array,14/03/2010,00:00:00,15/03/2010,00:00:00,TRUE,FALSE,13/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday after Fourth Sunday of Lent,15/03/2010,00:00:00,16/03/2010,00:00:00,TRUE,FALSE,14/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Boniface of Ross, Bishop, 8th century [6] White",16/03/2010,00:00:00,17/03/2010,00:00:00,TRUE,FALSE,15/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Patrick, Bishop, Patron of Ireland, 461 [4] White",17/03/2010,00:00:00,18/03/2010,00:00:00,TRUE,FALSE,16/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Cyril of Jerusalem, Bishop and Teacher of the Faith, 386 [6] White",18/03/2010,00:00:00,19/03/2010,00:00:00,TRUE,FALSE,17/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Joseph of Nazareth [4] White,19/03/2010,00:00:00,20/03/2010,00:00:00,TRUE,FALSE,18/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Cuthbert, Bishop, 687 [6] White",20/03/2010,00:00:00,21/03/2010,00:00:00,TRUE,FALSE,19/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Fifth Sunday of Lent [1] Violet or Lenten Array,21/03/2010,00:00:00,22/03/2010,00:00:00,TRUE,FALSE,20/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Thomas Ken, Bishop, 1711 [6] White",22/03/2010,00:00:00,23/03/2010,00:00:00,TRUE,FALSE,21/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Thomas Cranmer, Bishop, 1556 [6] Red (translated from 21 March)",23/03/2010,00:00:00,24/03/2010,00:00:00,TRUE,FALSE,22/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Paul Couturier, Priest, 1953 [6] White",24/03/2010,00:00:00,25/03/2010,00:00:00,TRUE,FALSE,23/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
THE ANNUNCIATION OF THE LORD [2] White,25/03/2010,00:00:00,26/03/2010,00:00:00,TRUE,FALSE,24/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Friday after Fifth Sunday of Lent,26/03/2010,00:00:00,27/03/2010,00:00:00,TRUE,FALSE,25/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Saturday after Fifth Sunday of Lent,27/03/2010,00:00:00,28/03/2010,00:00:00,TRUE,FALSE,26/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
The Sunday of the Passion (Palm Sunday) [1] Red or Violet,28/03/2010,00:00:00,29/03/2010,00:00:00,TRUE,FALSE,27/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday of Holy Week [1] Red or Violet,29/03/2010,00:00:00,30/03/2010,00:00:00,TRUE,FALSE,28/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Tuesday of Holy Week [1] Red or Violet,30/03/2010,00:00:00,31/03/2010,00:00:00,TRUE,FALSE,29/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday of Holy Week [1] Red or Violet,31/03/2010,00:00:00,01/04/2010,00:00:00,TRUE,FALSE,30/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Maundy Thursday [1] White at the Eucharist,01/04/2010,00:00:00,02/04/2010,00:00:00,TRUE,FALSE,31/03/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Good Friday [1] Red for the Liturgy; Hangings removed,02/04/2010,00:00:00,03/04/2010,00:00:00,TRUE,FALSE,01/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Holy Saturday (Easter Eve) [1] Hangings removed; White at the Easter Vigil,03/04/2010,00:00:00,04/04/2010,00:00:00,TRUE,FALSE,02/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
EASTER DAY [1] White,04/04/2010,00:00:00,05/04/2010,00:00:00,TRUE,FALSE,03/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Monday of Easter week,05/04/2010,00:00:00,06/04/2010,00:00:00,TRUE,FALSE,04/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Tuesday of Easter week,06/04/2010,00:00:00,07/04/2010,00:00:00,TRUE,FALSE,05/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday of Easter week,07/04/2010,00:00:00,08/04/2010,00:00:00,TRUE,FALSE,06/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday of Easter week,08/04/2010,00:00:00,09/04/2010,00:00:00,TRUE,FALSE,07/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Friday of Easter week (Dietrich Bonhoeffer, Theologian and Martyr, 1945 [6] Red)",09/04/2010,00:00:00,10/04/2010,00:00:00,TRUE,FALSE,08/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Saturday of Easter week (William Law, Priest, 1761 [6] White)",10/04/2010,00:00:00,11/04/2010,00:00:00,TRUE,FALSE,09/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Second Sunday of Easter [1] White; SPB First Sunday after Easter,11/04/2010,00:00:00,12/04/2010,00:00:00,TRUE,FALSE,10/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"William Forbes, Bishop, 1634 [6] White",12/04/2010,00:00:00,13/04/2010,00:00:00,TRUE,FALSE,11/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"George Augustus Selwyn, Bishop and Missionary, 1878 [6] White (translated from 11 April)",13/04/2010,00:00:00,14/04/2010,00:00:00,TRUE,FALSE,12/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Wednesday after Second Sunday of Easter,14/04/2010,00:00:00,15/04/2010,00:00:00,TRUE,FALSE,13/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Thursday after Second Sunday of Easter,15/04/2010,00:00:00,16/04/2010,00:00:00,TRUE,FALSE,14/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Magnus of Orkney, Martyr, c.1116 [6] Red",16/04/2010,00:00:00,17/04/2010,00:00:00,TRUE,FALSE,15/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
"Donnan, Abbot and Companions, Martyrs, c.617 [6] Red",17/04/2010,00:00:00,18/04/2010,00:00:00,TRUE,FALSE,16/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
Third Sunday of Easter [1] White; SPB Second Sunday after Easter,18/04/2010,00:00:00,19/04/2010,00:00:00,TRUE,FALSE,17/04/2010,23:45:00,,,,,,,,,,Normal,,Normal,3
